id,cui,name,official_name,definition
465,C0317948,streptococcus prevotella,Anaerococcus prevotii,"A species of anaerobic, Gram positive, cocci shaped bacteria assigned to the phylum Firmicutes. This bacteria is indole and coagulase negative, urease positive and produces acid from raffinose, ribose and mannose. A. pervotii is an opportunist pathogen in immunocompromised individuals."
466,C1078763,anaerococcus,Anaerococcus,"A genus of strictly anaerobic, Gram positive, cocci shaped bacterium assigned to the phylum Firmicutes and the family Clostridiales XI."
467,C0315275,morganella,Morganella <enterobacteria>,"A genus of gram-negative, facultatively anaerobic, straight rods which are motile by peritrichous flagella. These organisms are chemoorganotrophic and have both a respiratory and fermentative type of metabolism. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
468,C0033750,providencia spp,Providencia,Gram-negative rods isolated from human urine and feces.
469,C0033476,propionibacterium,Propionibacterium,"A genus of gram-positive, rod-shaped bacteria whose cells occur singly, in pairs or short chains, in V or Y configurations, or in clumps resembling letters of the Chinese alphabet. Its organisms are found in cheese and dairy products as well as on human skin and can occasionally cause soft tissue infections."
470,C0033475,propionibacteriaceae,Propionibacteriaceae,A family of gram-positive bacteria found in dairy products or in the intestinal tracts of animals.
471,C1005848,bilophila wadsworthia,Bilophila wadsworthia,"A species of anaerobic, Gram-negative, rod shaped bacteria assigned to the phylum Proteobacteria. This species is nonmotile, non-spore forming, catalase positive, indole and lipase negative, stimulated by bile, reduces nitrate, produces hydrogen sulfide, does not hydrolyze starch or esculin, and most strains are urease positive. B. wadsworthia are pleomorphic rods with swollen ends and is associated with appendicitis."
472,C1469747,mucispirillum schaedleri,Mucispirillum schaedleri,None
473,C1469746,mucispirillum,Genus Mucispirillum,None
474,C0037964,mucispirillaceae,Spirillaceae,"A family of gram-negative bacteria in the order Nitrosomonadales. It formerly included the genera CAMPYLOBACTER and SPIRILLUM, then was abandoned, and is now reinstated as a family with a single genus SPIRILLUM."
475,C1214158,deferribacterales,Deferribacterales,None
476,C1026914,deferribacteres,Deferribacteres (class),None
477,C1220823,deferribacterota,Deferribacteres <phylum>,None
478,C0315112,clostridium innocuum,Clostridium innocuum,"A species of anaerobic, Gram positive, rod shaped bacteria assigned to the phylum Firmicutes. This species is nonsporulating, urease, catalase and indole negative, ferments mannose but not raffinose, does not reduce nitrate, is pyrrolidonyl positive and may appear gram variable due to staining difficulty. C. innocuum is part of the RIC group of clostridium and is an opportunistic pathogen."
479,C5476923,coprobacillaceae,Coprobacillaceae,None
480,C0314945,campylobacter gracilis,Campylobacter gracilis,"A species of microaerophilic, Gram-negative, straight bacilli assigned to the phylum Proteobacteria This species is nonmotile, non-spore forming, catalase negative, oxidase negative urease negative, indole negative, reduces nitrate and nitrite, but does not hydrolyze casein, starch or esculin. C. gracilis, known formerly as Bacteroides gracilis, is mostly found in deep tissue infections."
481,C1230166,dialister invisus,Dialister invisus,None
482,C1008539,dialister,Dialister,A genus of Gram-negative rod-shaped bacteria in the phylum Firmicutes.
483,C1265234,ntm,Nontuberculous Mycobacteria,"So-called atypical species of the genus MYCOBACTERIUM that do not cause tuberculosis. They are also called tuberculoid bacilli, i.e.: M. abscessus, M. buruli, M. chelonae, M. duvalii, M. flavescens, M. fortuitum, M. gilvum, M. gordonae, M. intracellulare (see MYCOBACTERIUM AVIUM COMPLEX;), M. kansasii, M. marinum, M. obuense, M. scrofulaceum, M. szulgai, M. terrae, M. ulcerans, M. xenopi."
484,C1037122,unclassified mycobacteriaceae,unclassified Mycobacteriaceae,None
485,C0317721,megamonas,Megamonas,"A genus of anaerobic, Gram negative, rod shaped bacteria assigned to the phylum Firmicutes and the family Veillonellaceae."
486,C0041944,ureaplasma,Ureaplasma,"A genus of gram-negative, nonmotile bacteria which are common parasitic inhabitants of the urogenital tracts of humans, cattle, dogs, and monkeys."
487,C5474580,mycoplasmoidaceae,Mycoplasmoidaceae,None
488,C5522406,mycoplasmoidales,Mycoplasmoidales,None
489,C0026941,mycoplasma pneumoniae,Mycoplasma pneumoniae,"Short filamentous organism of the genus Mycoplasma, which binds firmly to the cells of the respiratory epithelium. It is one of the etiologic agents of non-viral primary atypical pneumonia in man."
490,C0026938,mycoplasmoides,Mycoplasma mycoides,"The etiological agent of contagious pleuropneumonia (PLEUROPNEUMONIA, CONTAGIOUS) of cattle and goats."
491,C0318075,ruminococcus flavefaciens,Ruminococcus flavefaciens,None
492,C0317638,lactobacillus pentosus,Lactobacillus pentosus,A species of Lactobacillus that occurs in FERMENTED FOODS where its ability to produce LACTIC ACID; ANTI-INFECTIVE AGENTS; and BACTERIOCINS make it useful as a FOOD PRESERVATION agent. It is also used as a PROBIOTIC.
493,C5471183,lactiplantibacillus,Lactiplantibacillus,None
494,C0317604,lactobacillus brevis,Levilactobacillus brevis,"A species of facultatively anaerobic/microaerophilic, Gram positive, rod shaped bacteria in the phylum Firmicutes. This species is nonmotile, ferments D ribose, galactose, arabinose and maltose, catalase positive, does not ferment mannose and hydrolyzes hippurate. L. brevis is non pathogenic but may be a concern for brewers due to its beer and wine spoilage ability."
495,C5471202,levilactobacillus,Levilactobacillus,None
496,C2659813,butyricimonas,Butyricimonas,None
497,C0318101,sphingobacterium multivorum,Sphingobacterium multivorum,"A species of aerobic, Gram negative, rod and cocci shaped bacteria assigned to the phylum Bacteroidetes. This species contains sphingolipids, can ferment glucose and is oxidase and urease positive. S. multivorum can be pathogenic in immunocompromised individuals."
498,C0318100,sphingobacterium,Sphingobacterium,"A genus of aerobic, Gram negative, rod and cocci shaped bacterium assigned to the phylum Bacteroidetes and the family Sphingobacteriaceae."
499,C1036778,sphingobacteriaceae,Sphingobacteriaceae,"A taxonomic family of marine and soil borne bacterium in the phylum Bacteroidetes that includes the genera Nubsella, Pedobacter, Sphingobacterium and Mucilaginibacter, among others."
500,C0010831,sphingobacteriales,Cytophagales,None
501,C1094922,sphingobacteriia,Sphingobacteria,None
502,C4425218,bacteroidetes bacterium,Bacteroidetes bacterium,None
503,C4406403,flavobacteriaceae bacterium,Flavobacteriaceae bacterium,None
504,C1022799,unclassified flavobacteriaceae,unclassified Flavobacteriaceae,None
505,C1047211,cyanobacteria,Cyanobacteria,"A phylum of oxygenic photosynthetic bacteria comprised of unicellular to multicellular bacteria possessing CHLOROPHYLL a and carrying out oxygenic PHOTOSYNTHESIS. Cyanobacteria are the only known organisms capable of fixing both CARBON DIOXIDE (in the presence of light) and NITROGEN. Cell morphology can include nitrogen-fixing heterocysts and/or resting cells called akinetes. Formerly called blue-green algae, cyanobacteria were traditionally treated as ALGAE."
506,C0036766,marcescens,Serratia marcescens,"A species of gram-negative, facultatively anaerobic, rod-shaped bacteria found in soil, water, food, and clinical specimens. It is a prominent opportunistic pathogen for hospitalized patients."
507,C0036765,serratia,Serratia,"A genus of gram-negative, facultatively anaerobic, rod-shaped bacteria that occurs in the natural environment (soil, water, and plant surfaces) or as an opportunistic human pathogen."
508,C1047161,solobacterium moorei,Solobacterium moorei,"A species of non-spore-forming, obligately anaerobic, Gram-positive bacillus in the family Erysipelotrichaceae. This species is positive for arginine dihydrolase, alpha- and beta-galactosidase, alpha-glucosidase, arginine arylamidase, proline arylamidase, and leucine arylamidase. S. moorei was initially isolated from human feces, is involved in human infection, and has been implicated as a causative agent of halitosis."
509,C1059410,solobacterium,Genus Solobacterium,"A taxonomic grouping of none spore-forming, strict anaerobic Gram positive bacillus that can be assigned to the genus Solobacterium."
510,C0318175,atopobium parvulum,Atopobium parvulum,"A species of obligately anaerobic, Gram positive, rod shaped bacteria in the phylum Actinobacteria. This bacteria is non-motile, tyrosine arylamidase positive and arginine dihydrolase negative. A. parvulum is a commensal organism of the oral cavity and associated with periodontal health."
511,C5437982,lancefieldella,Lancefieldella,None
512,C0317611,lactobacillus ruminis,Lactobacillus ruminis,None
513,C0314992,bifidobacterium seudocatenulatum,Bifidobacterium pseudocatenulatum,"A bacterial species in the family Bifidobacteriaceae. B. pseudocatenulatum hydrolyzes phytate and ferments amylopectin and amylose and does not ferment D-galactosamine, D-glucuronate, arabinogalactan, pectin, or gums. This bacteria is a normal part of the gut flora and is frequently used as a probiotic."
514,C1034494,delftia,Delftia,"A genus of aerobic, Gram negative, rod shaped bacterium assigned to the phylum Proteobacteria and the family Comamonadaceae."
515,C4433919,cutibacterium,Cutibacterium,None
516,C2810689,anaerobacillus,Anaerobacillus,None
517,C1035233,atopobium vaginae,Atopobium vaginae,"A species of facultative anaerobic, Gram-positive, rod-shaped or elliptical coccobacillus in the family Coriobacteriaceae. It is commonly isolated from women with bacterial vaginosis and it is implicated in treatment failures."
518,C5471107,fannyhessea,Fannyhessea,None
519,C0206385,mobiluncus spp,Mobiluncus,"A genus of gram-negative, anaerobic, rod-shaped bacteria. Its organisms are found in the human vagina, particularly in association with Gardnerella vaginalis in cases of bacterial vaginosis."
520,C0030637,pasteurella multocida,Pasteurella multocida,"A species of gram-negative, facultatively anaerobic, rod-shaped bacteria normally found in the flora of the mouth and respiratory tract of animals and birds. It causes shipping fever (see PASTEURELLOSIS, PNEUMONIC); HEMORRHAGIC BACTEREMIA; and intestinal disease in animals. In humans, disease usually arises from a wound infection following a bite or scratch from domesticated animals."
521,C0030635,pasteurella,Pasteurella,"The oldest recognized genus of the family PASTEURELLACEAE. It consists of several species. Its organisms occur most frequently as coccobacillus or rod-shaped and are gram-negative, nonmotile, facultative anaerobes. Species of this genus are found in both animals and humans."
522,C0317589,lactobacillus jensenii,Lactobacillus jensenii,"A species of facultatively anaerobic, Gram positive, rod shaped bacteria in the phylum Firmicutes. This species is obligately homofermentative, requires pyridoxal for growth in culture and ferments trehalose and esculin but not lactose. L. jensenii is a colonizer of the healthy vaginal tract and inhibits the growth of gonococcal organisms therein, but may be pathogenic in immunocompromised individuals."
523,C0027575,neisseria meningitidis,Neisseria meningitidis,"A species of gram-negative, aerobic BACTERIA. It is a commensal and pathogen only of humans, and can be carried asymptomatically in the NASOPHARYNX. When found in cerebrospinal fluid it is the causative agent of cerebrospinal meningitis (MENINGITIS, MENINGOCOCCAL). It is also found in venereal discharges and blood. There are at least 13 serogroups based on antigenic differences in the capsular polysaccharides; the ones causing most meningitis infections being A, B, C, Y, and W-135. Each serogroup can be further classified by serotype, serosubtype, and immunotype."
524,C0018155,gram positive cocci 20,Gram-Positive Cocci,Coccus-shaped bacteria that retain the crystal violet stain when treated by Grams method.
525,C4697034,corynebacterium spp,Corynebacterium spp,None
526,C0317561,filifactor alocis,Filifactor alocis,None
527,C1082714,filifactor,Genus Filifactor,None
528,C3717413,peptoanaerobacter stomatis,Peptoanaerobacter stomatis,None
529,C4434707,peptoanaerobacter,Peptoanaerobacter,None
530,C0036197,sarcina,Sarcina,"A genus of gram-positive, anaerobic bacteria whose organisms divide in three perpendicular planes and occur in packets of eight or more cells. It has been isolated from soil, grains, and clinical specimens."
531,C0315088,clostridium histolyticum,Clostridium histolyticum,"A species of anaerobic, Gram positive, rod shaped bacteria assigned to the phylum Firmicutes. This species is indole negative, liquefies gelatin, does not reduce nitrate and does not produce acid from lactose or ribose. C. histolyticum is pathogenic when exposed to open wounds on the body but not upon ingestion."
532,C4132152,hathewaya,Hathewaya,None
533,C0317568,haemophilus parainfluenzae,Haemophilus parainfluenzae,"A species of facultatively anaerobic, Gram negative, coccobacilli shaped bacteria assigned to the phylum Proteobacteria. This species is oxidase, urease and porphyrin positive, can grow in culture with V factor alone, and requires putrescines for growth in culture. H. parainfluenzae is a commensal organism of the oral cavity and pharynx but may become pathogenic in immunocompromised individuals or individuals with underlying disease, being a causative agent of endocarditis."
534,C0023861,listeria monocytogenes,Listeria monocytogenes,"A species of gram-positive, rod-shaped bacteria widely distributed in nature. It has been isolated from sewage, soil, silage, and from feces of healthy animals and man. Infection with this bacterium leads to encephalitis, meningitis, endocarditis, and abortion."
535,C0887836,citrobacter rodentium,Citrobacter rodentium,"A species of gram-negative bacteria in the genus CITROBACTER, family ENTEROBACTERIACEAE. As an important pathogen of laboratory mice, it serves as a model for investigating epithelial hyperproliferation and tumor promotion. It was previously considered a strain of CITROBACTER FREUNDII."
536,C1661826,pseudomonas 10,Pseudomonas sp. 10,None
537,C5482798,unclassified pseudomonas,unclassified Pseudomonas,None
538,C0318245,veillonella ratti,Veillonella ratti,None
539,C0317505,eubacterium hallii,Anaerobutyricum hallii,None
540,C5122018,anaerobutyricum,Anaerobutyricum,None
541,C1016022,dehalobacterium,Dehalobacterium,None
542,C0085467,acinetobacter baumannii,Acinetobacter calcoaceticus,"A species of gram-negative, aerobic bacteria found in soil and water. Although considered to be normally nonpathogenic, this bacterium is a causative agent of nosocomial infections, particularly in debilitated individuals."
543,C2828037,acinetobacter calcoaceticus/baumannii complex,Acinetobacter calcoaceticus/baumannii complex,A non taxonomic grouping of bacteria assigned to the Acinetobacter genus that include the A. calcoaceticus and A. baumannii species.
544,C0318143,ery streptococcus dysgalactiae,Streptococcus dysgalactiae,"A species of Gram-positive, alpha- or beta-hemolytic bacteria in the order Lactobacillales. The species is split into two subspecies, S. dysgalactiae subsp. dysgalactiae and S. dysgalactiae subsp. equisimilis."
545,C1057352,streptococcus dysgalactiae group,Streptococcus dysgalactiae group,None
546,C0579233,streptococcus agalactiae,Streptococcus agalactiae,A bacterium which causes mastitis in cattle and occasionally in man.
547,C0038174,staphylococcus epidermidis,Staphylococcus epidermidis,"A species of STAPHYLOCOCCUS that is a spherical, non-motile, gram-positive, chemoorganotrophic, facultative anaerobe. Mainly found on the skin and mucous membrane of warm-blooded animals, it can be primary pathogen or secondary invader."
548,C0317881,neisseria subflava,Neisseria subflava,"A species of aerobic, Gram-negative, cocci shaped bacteria assigned to the phylum Proteobacteria. This species is catalase and oxidase positive, produces a yellowish pigment, non-hemolytic, utilizes glucose and maltose, but not mannose or lactose, reduces nitrite but not nitrate, and some strains spontaneously agglutinate in saline. N. subflava is commensal in the human nasopharynx, but has been isolated in the cerebrospinal fluid of individuals with meningitis."
549,C0318222,treponema denticola,Treponema denticola,"A species of bacteria in the family SPIROCHAETACEAE, frequently isolated from periodontal pockets (PERIODONTAL POCKET)."
550,C0314961,tannerella forsythia,Tannerella forsythia,A periodontal pathogen which is a gram-negative member of BACTEROIDETES. It is implicated in PERIODONTITIS.
551,C1217351,tannerella,Tannerella,"A genus of anaerobic, gram-negative bacteria in the family Tannerellaceae and phylum BACTEROIDETES. TANNERELLA FORSYTHIA, a known species of this genus, is a cause of PERIODONTAL DISEASES and associated with ESOPHAGEAL CANCER and BACTERIAL VAGINOSIS."
552,C0315070,clostridium tyrobutyricum,Clostridium tyrobutyricum,"A species of anaerobic, Gram positive, rod shaped bacteria assigned to the phylum Firmicutes. This species is sporulating, ferments glucose and xylose and produces butyric acid and acetic acid as fermentation by-products. C. tyrobutyricum is present in milk and causes late-blowing defect in cheeses with high pH leading to product loss."
553,C0282676,burkholderia,Burkholderia,"A genus of gram-negative, aerobic, rod-shaped bacteria originally classified as members of the PSEUDOMONADACEAE."
554,C1057057,burkholderiaceae,Burkholderiaceae,A taxonomic family of bacterium in the phylum Proteobacteria that may cause wilt and rot in a number of plant species.
555,C1040072,hymenobacter,Hymenobacter,None
556,C4393899,hymenobacteraceae,Hymenobacteraceae,None
557,C3009994,cytophagia,Cytophagia,None
558,C1503411,atopostipes,Atopostipes,None
559,C1014144,ralstonia,Ralstonia,"A genus of Gram negative, rod shaped bacterium assigned to the phylum Proteobacteria and the family Burkholderiaceae."
560,C0085448,caulobacter,Caulobacter,"A genus of gram-negative, aerobic, rod- or vibroid-shaped or fusiform bacteria that commonly produce a stalk. They are found in fresh water and soil and divide by binary transverse fission."
561,C0752039,cellvibrio,Cellvibrio,"A genus of aerobic, gram-negative, motile, slightly curved, rod-shaped bacteria. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
562,C4096258,cellvibrionaceae,Cellvibrionaceae,None
563,C4096259,cellvibrionales,Cellvibrionales,None
564,C1086870,ignavigranum,Ignavigranum,None
565,C1021720,chryseobacterium,Chryseobacterium,"A genus of aerobic, Gram negative, rod shaped bacterium in the phylum Bacteroidetes and the family Flavobacteriaceae."
566,C5518604,chryseobacterium group,Chryseobacterium group,None
567,C5470341,weeksellaceae,Weeksellaceae,None
568,C1234595,jeotgalicoccus,Jeotgalicoccus,None
569,C1228147,histophilus,Histophilus,"A genus of Gram negative, coccobacilli shaped bacterium in the phylum Proteobacteria and the family Pasteurellaceae."
570,C0038393,streptobacillus,Streptobacillus,"A genus of gram-negative, facultatively anaerobic, rod-shaped bacteria that require SERUM; ASCITIC FLUID; or BLOOD for growth. Its organisms inhabit the THROAT; and NASOPHARYNX of wild and laboratory rats and cause one form of RAT-BITE FEVER in man."
571,C0318150,streptococcus uberis,Streptococcus uberis,"A species of facultatively anaerobic, Gram positive, cocci shaped bacteria in the phylum Firmicutes. This species is catalase negative, leucine aminopeptidase and pyrrolidonylarylamidase positive, grows in 6.5% NaCl and hydrolyzes esculin. It can ferment salicin, inulin, trehalose, mannitol, and sorbitol but not raffinose. S. uberis is found in a wide variety of environments and may cause mastitis in cows, but is not known to be a human pathogen."
572,C4318767,ileibacterium,Ileibacterium <Ileibacterium>,None
573,C0026390,tenericutes,Tenericutes,"A taxonomic phylum within kingdom Bacteria consisting of the Mollicutes, a class of intracellular parasitic bacteria without a cell wall."
574,C0314921,bacteroide vulgatus,Bacteroides vulgatus,"A species of anaerobic, Gram-negative, rod shaped bacteria assigned to the phylum Bacteroidetes. This species is nonmotile, non-sporeforming, hydrolyzes starch and esculin, resistant to penicillin, indole negative, and reduces resazurin, but not neutral red or nitrate. B. vulgatus is found in the human intestinal tract, but can be pathogenic."
575,C3084036,phocaeicola,Phocaeicola,None
576,C1004293,coprococcus,Coprococcus,None
577,C0026943,mycoplasmataceae,Mycoplasmataceae,"A family of gram-negative, non-motile bacteria from human and animal sources. One saprophytic species is known."
578,C0026944,mycoplasmatales,Mycoplasmatales (bacterium),"An order of highly pleomorphic, gram-negative bacteria including both pathogenic and saprophytic species."
579,C1212549,dorea,Dorea,"A genus of Gram-positive, obligately anaerobic, non-spore-forming, rod-shaped bacterium in the phylum Firmicutes."
580,C0315055,cardiobacterium,Cardiobacterium (genus),"A genus of facultatively anaerobic, Gram-negative, straight bacilli assigned to the phylum Proteobacteria and the family Cardiobacteriaceae."
581,C1960583,cardiobacteriaceae,Family Cardiobacteriaceae,"A taxonomic family of Gram negative, mostly aerobic bacterium in the phylum Proteobacteria that includes the genera Cardiobacterium, Dichelobacter and Suttonella."
582,C1065470,cardiobacteriales,Cardiobacteriales,None
583,C0085482,eikenella,Eikenella,"A genus of gram-negative, facultatively anaerobic, rod-shaped bacteria that occurs in the human mouth and intestine. Organisms of this genus can be opportunistic pathogens."
584,C1295773,desulfobulbus,Desulfobulbus species,None
585,C1227217,desulfobulbaceae,Desulfobulbaceae,None
586,C1021577,actinobaculum schaalii,Actinotignum schaalii,"A species of facultatively anaerobic, Gram-positive, catalase-negative, nonmotile, non-spore forming, non-acid fast, nonhemolytic, straight to curved rod-shaped bacteria, in the phylum Actinobacteria. This species ferments glucose and produces acetate, succinate and acid; hydrolyzes hippurate, but does not reduce nitrate to nitrite; and does not hydrolyze esculin, gelatin or urea. A. schaalii is a part of the commensal flora of the human genitourinary tract and may cause urinary tract infections, urosepsis, bacteremia, cellulitis, spondylodiscitis, and endocarditis in humans."
587,C4103137,actinotignum,Actinotignum,None
588,C0445839,sphingomonas,Sphingomonas,"A genus of gram-negative, aerobic, rod-shaped bacteria characterized by an outer membrane that contains glycosphingolipids but lacks lipopolysaccharide. They have the ability to degrade a broad range of substituted aromatic compounds."
589,C1009415,sphingomonadaceae,Sphingomonadaceae,"A taxonomic family of Gram negative bacterium, which are found in soil, water and activated sludge, in the phylum Proteobacteria that includes the genera Sphingomonas, Zymomonas and Citromicrobium, among others."
590,C0318068,rikenella,Rikenella,None
591,C1674264,alistipes finegoldii,Alistipes finegoldii,None
592,C0580797,enterotoxigenic e. coli,Enterotoxigenic Escherichia coli,Strains of ESCHERICHIA COLI that produce or contain at least one member of either heat-labile or heat-stable ENTEROTOXINS. The organisms colonize the mucosal surface of the small intestine and elaborate their enterotoxins causing DIARRHEA. They are mainly associated with tropical and developing countries and affect susceptible travelers to those places.
593,C0085442,mycobacterium avium subspecies paratuberculosis,Mycobacterium avium subsp. paratuberculosis,"A subspecies of gram-positive, aerobic bacteria. It is the etiologic agent of Johnes disease (PARATUBERCULOSIS), a chronic GASTROENTERITIS in RUMINANTS."
594,C0026913,mycobacterium avium,Mycobacterium avium,"A bacterium causing tuberculosis in domestic fowl and other birds. In pigs, it may cause localized and sometimes disseminated disease. The organism occurs occasionally in sheep and cattle. It should be distinguished from the M. avium complex, which infects primarily humans."
595,C0026914,mycobacterium avium complex (mac),Mycobacterium avium Complex,"A complex that includes several strains of M. avium. M. intracellulare is not easily distinguished from M. avium and therefore is included in the complex. These organisms are most frequently found in pulmonary secretions from persons with a tuberculous-like mycobacteriosis. Strains of this complex have also been associated with childhood lymphadenitis and AIDS; M. avium alone causes tuberculosis in a variety of birds and other animals, including pigs."
596,C1057550,oscillospira,Oscillospira,None
597,C4128371,bombella apis,Bombella apis,None
598,C4103009,bombella,Bombella,None
599,C0318071,rothia dentocariosa,Rothia dentocariosa,"A species of aerobic, Gram positive, rod shaped bacteria assigned to the phylum Actinobacteria. This species cannot oxidize glucose or hydrolyze starch but is able to degrade gelatin and reduce nitrite. R. dentocariosa is a part of the normal flora of the mouth, nose and throat and can cause subacute infective endocarditis with extracardiac complications in immunocompromised patients."
600,C0318136,rothia,Rothia <bacteria>,"A genus of aerobic, Gram positive, rod shaped bacterium assigned to the phylum Actinobacteria and the family Micrococcaceae."
601,C2651883,propionibacterium acidifaciens,Propionibacterium acidifaciens,None
602,C1004290,phascolarctobacterium faecium,Phascolarctobacterium faecium,None
603,C1004289,phascolarctobacterium,Phascolarctobacterium,None
604,C4386154,acidaminococcales,Acidaminococcales,None
605,C3306391,phascolarctobacterium succinatutens,Phascolarctobacterium succinatutens,None
606,C0348055,streptococcus gordonii,Streptococcus gordonii,"A species of gram-positive, facultatively anaerobic bacteria in the family STREPTOCOCCACEAE. It is a normal inhabitant of the human oral cavity, and causes DENTAL PLAQUE and ENDOCARDITIS. It is being investigated as a vehicle for vaccine delivery."
607,C0035496,rhodococcus,Rhodococcus,A bacterial genus of the order ACTINOMYCETALES.
608,C0028243,nocardiaceae,Family Nocardiaceae,"A family of gram-positive, aerobic actinomycetes found in soil and animal tissue. Some species are the cause of infection in man and animals."
609,C0314746,cocci,Cocci (bacteria),None
610,C2613540,coccidae,Coccidae,None
611,C0600233,coccoidea,Coccoidea,None
612,C1004447,sternorrhyncha,Sternorrhyncha,None
613,C0018992,hemiptera,Hemiptera,"A large order of insects characterized by having the mouth parts adapted to piercing or sucking. It is comprised of four suborders: HETEROPTERA, Auchenorrhyncha, Sternorrhyncha, and Coleorrhyncha."
614,C1004426,paraneoptera,Paraneoptera,None
615,C1081809,neoptera,Neoptera,"Modern insects belonging to the subclass PTERYGOTA, Many have the ability to fold their wings with exceptions being butterflies, moths, and a few others within the group."
616,C0998616,pterygota,Pterygota <winged insects>,A subclass of winged insects belonging to the class Insecta.
617,C1037452,dicondylia,Dicondylia,None
618,C0021585,insecta,Insecta,"Members of the phylum ARTHROPODA composed or organisms characterized by division into three parts: head, thorax, and abdomen. They are the dominant group of animals on earth with several hundred thousand different kinds. Three orders, HEMIPTERA; DIPTERA; and SIPHONAPTERA; are of medical interest in that they cause disease in humans and animals. (From Borror et al., An Introduction to the Study of Insects, 4th ed, p1)."
619,C0598700,hexapoda,Subphylum Hexapoda,None
620,C1218615,pancrustacea,Pancrustacea,None
621,C1218616,mandibulata,Mandibulata,None
622,C0003903,arthropoda,Arthropods,"Members of the phylum Arthropoda, composed of organisms having a hard, jointed exoskeleton and paired jointed legs. It includes the class INSECTS and the subclass ARACHNIDA, many species of which are important medically as parasites or as vectors of organisms capable of causing disease in man."
623,C1039396,panarthropoda,Panarthropoda,None
624,C3578917,ecdysozoa,Ecdysozoa,None
625,C1004415,protostomia,Protostomia,None
626,C1004398,bilateria,Bilateria,None
627,C0997870,eumetazoa,Eumetazoa,None
628,C2713498,metazoa,Metazoa,A division of multicellular organisms that was a subkingdom under Animalia in the old five kingdom paradigm.
629,C1004365,opisthokonta,Opisthokonta,None
630,C0684063,eukaryota,Eukaryota,Organism or cells with a nucleus separated from the cytoplasm by a two membrance nuclear envelope and compartmentalization of function into distinct cytoplasmic organelles.
631,C0317474,enterococcus hirae,Enterococcus hirae,"A species of facultatively anaerobic, Gram-positive, cocci shaped bacteria in the phylum Firmicutes. This species is nonmotile, non-spore forming, catalase negative, and hydrolyzes esculin but not hippurate. E. hirae was isolated from chicken and pig intestines and though rare, is pathogenic in humans."
632,C0314979,bifidobacterium thermophilum,Bifidobacterium thermophilum,None
633,C2759066,lactobacillus equicursoris,Lactobacillus equicursoris,None
634,C2717874,uropathogenic e. coli,Uropathogenic Escherichia coli,Strains of Escherichia coli that preferentially grow and persist within the urinary tract. They exhibit certain virulence factors and infection pathways that cause URINARY TRACT INFECTIONS.
635,C0121772,haemophilus influenzae type b 5,Haemophilus influenzae type b,"A type of H. influenzae isolated most frequently from biotype I. Prior to vaccine availability, it was a leading cause of childhood meningitis."
636,C1623724,spirochaetes phylum,Phylum Spirochaetes,A phylum of gram-negative bacteria that are distinguished from other bacterial phyla by the location of their flagella which run lengthwise between the cell membrane and outer membrane.
637,C0037972,spirochaetaceae family,Spirochaetaceae,A family of spiral bacteria of the order SPIROCHAETALES.
638,C1214159,deferribacteraceae,Deferribacteraceae,None
639,C1456432,actinobacteria phylum,Actinobacteria phylum,A taxonomic phylum within kingdom Bacteria consisting of gram-positive soil bacteria with a high G+C ratio.
640,C4698067,acinetobacter baumanii,Acinetobacter baumanii,None
641,C4167166,faecalibaculum rodentium,Faecalibaculum rodentium,None
642,C1631325,parabacteroides goldsteinii,Parabacteroides goldsteinii,"A species of obligately anaerobic, non-spore-forming, non-motile, Gram negative, rod-shaped bacterium in the family Porphyromonadaceae. This species is negative for urease and nitrate reduction. Acid is produced from cellobiose, glucose, rhamnose, sucrose, trehalose and xylose, but not from arabinose or xylan. P. goldsteinii was isolated from human clinical specimens of intestinal origin."
643,C0314875,bacillus licheniformis,Bacillus licheniformis,"A species of facultatively anaerobic, Gram-positive, rod shaped bacteria assigned to the phylum Firmicutes. This species is motile, spore forming, catalase positive, reduces nitrate, and hydrolyzes casein, gelatin, starch and esculin. B. licheniformis is found in soil, and is a food contaminant which pathogenic to both humans and animals."
644,C1088279,lactobacillus frumenti,Lactobacillus frumenti,None
645,C0317850,mycoplasma bovis,Mycoplasma bovis,A species of gram-negative bacteria causing MASTITIS; ARTHRITIS; and RESPIRATORY TRACT DISEASES in CATTLE.
646,C4698736,clostridium spp,Clostridium spp,None
647,C3972404,helicobacter saguini,Helicobacter saguini,None
648,C0315111,clostridium ramosum,Erysipelatoclostridium ramosum,"A species of anaerobic, Gram positive, rod shaped bacteria assigned to the phylum Firmicutes. This species is nonsporulating, urease, catalase and indole negative, pyrrolidonyl negative, does not reduce nitrate, weakly ferments mannose and raffinose and may appear gram variable due to staining difficulty. C. ramosum is part of the RIC group of clostridium and is an opportunistic pathogen."
649,C1038817,burkholderia cepacia complex,Burkholderia cepacia complex,A non taxonomic grouping of bacteria assigned to and including at least nine related species from the Burkholderia genus.
650,C1009867,porphyromonas catoniae,Porphyromonas catoniae,"A species of obligately anaerobic, Gram-negative, rod shaped bacteria assigned to the phylum Bacteroidetes. This species is nonmotlie, non-spore forming, indole positive, produces major amounts of propionic acid, liquefies gelatin, hydrolyzes starch, but not esculin, and does not reduce nitrate. P. catoniae has been isolated from the gingiva of healthy individuals as well as from those with gingivitis or periodontal disease."
