1,DISEASE,MESH ID,BACTERIA,NCBI ID,RELATION,METHOD,PMID
656,Hepatic Encephalopathy,D006501,Petrotoga,28236,Increase,16S rRNA sequences,27981305
657,Hepatic Encephalopathy,D006501,Candidatus Tammella,435139,Increase,16S rRNA sequences,27981305
658,Hepatic Encephalopathy,D006501,Thermovenabulum,159730,Increase,16S rRNA sequences,27981305
659,Hepatic Encephalopathy,D006501,Thermodesulfatator,241192,Increase,16S rRNA sequences,27981305
660,Hepatic Encephalopathy,D006501,Dolichospermum,748770,Increase,16S rRNA sequences,27981305
661,Hepatic Encephalopathy,D006501,Thiothrix,1030,Increase,16S rRNA sequences,27981305
662,Hepatic Encephalopathy,D006501,Euzebya,908623,Increase,16S rRNA sequences,27981305
663,Hepatic Encephalopathy,D006501,Desulfurispora,510701,Increase,16S rRNA sequences,27981305
664,Hepatic Encephalopathy,D006501,Luteibacter,242605,Increase,16S rRNA sequences,27981305
665,Hepatic Encephalopathy,D006501,Dyadobacter,120831,Increase,16S rRNA sequences,27981305
666,Hepatic Encephalopathy,D006501,Acidimicrobium,53634,Increase,16S rRNA sequences,27981305
667,Hepatic Encephalopathy,D006501,Parapedobacter,416949,Increase,16S rRNA sequences,27981305
668,Hepatic Encephalopathy,D006501,Rhodothermus,29548,Increase,16S rRNA sequences,27981305
669,Hepatic Encephalopathy,D006501,Cycloclasticus,34067,Increase,16S rRNA sequences,27981305
670,Hepatic Encephalopathy,D006501,Desulfovermiculus,339721,Increase,16S rRNA sequences,27981305
671,Hepatic Encephalopathy,D006501,Lysobacter,68,Decrease,16S rRNA sequences,27981305
672,Hepatic Encephalopathy,D006501,Rhodocyclus,1064,Decrease,16S rRNA sequences,27981305
673,Hepatic Encephalopathy,D006501,Candidatus Rhabdochlamydia,292833,Decrease,16S rRNA sequences,27981305
674,Hepatic Encephalopathy,D006501,Microbulbifer,48073,Decrease,16S rRNA sequences,27981305
675,Hepatic Encephalopathy,D006501,Vibrio,662,Decrease,16S rRNA sequences,27981305
676,Hepatic Encephalopathy,D006501,Kribbella,182639,Decrease,16S rRNA sequences,27981305
677,Hepatic Encephalopathy,D006501,Halochromatium,85074,Decrease,16S rRNA sequences,27981305
678,Hepatic Encephalopathy,D006501,Listeria,1637,Decrease,16S rRNA sequences,27981305
679,Hepatic Encephalopathy,D006501,Alcanivorax,59753,Decrease,16S rRNA sequences,27981305
680,Diarrhea,D003967,Bifidobacterium,1678,Increase,16S rRNA sequences,28439072
681,Diarrhea,D003967,Bacteroides,816,Increase,16S rRNA sequences,28439072
682,Diarrhea,D003967,Prevotella,838,Increase,16S rRNA sequences,28439072
683,Diarrhea,D003967,Ruminococcus,1263,Increase,16S rRNA sequences,28439072
684,Diarrhea,D003967,Ruminococcus,1263,Decrease,16S rRNA sequences,28439072
685,Diarrhea,D003967,Roseburia,841,Increase,16S rRNA sequences,28439072
686,Diarrhea,D003967,Lactobacillus,1578,Decrease,16S rRNA sequences,28439072
687,Diarrhea,D003967,Parabacteroides,375288,Increase,16S rRNA sequences,28439072
688,Diarrhea,D003967,Clostridium,1485,Decrease,16S rRNA sequences,28439072
689,Diarrhea,D003967,Coprococcus,33042,Increase,16S rRNA sequences,28439072
690,Diarrhea,D003967,Lachnospira,28050,Increase,16S rRNA sequences,28439072
691,Diarrhea,D003967,Oscillospira,119852,Increase,16S rRNA sequences,28439072
692,Diarrhea,D003967,Phascolarctobacterium,33024,Increase,16S rRNA sequences,28439072
693,Diarrhea,D003967,Phascolarctobacterium,33024,Decrease,16S rRNA sequences,28439072
694,Diarrhea,D003967,Acinetobacter,469,Decrease,16S rRNA sequences,28439072
695,Diarrhea,D003967,Acinetobacter,469,Increase,16S rRNA sequences,28439072
696,Diarrhea,D003967,Sutterella,40544,Increase,16S rRNA sequences,28439072
697,Diarrhea,D003967,Odoribacter,283168,Increase,16S rRNA sequences,28439072
698,Diarrhea,D003967,Odoribacter,283168,Decrease,16S rRNA sequences,28439072
699,Diarrhea,D003967,Porphyromonas,836,Decrease,16S rRNA sequences,28439072
700,Diarrhea,D003967,Escherichia,561,Increase,16S rRNA sequences,28439072
701,Diarrhea,D003967,Lactococcus,1357,Decrease,16S rRNA sequences,28439072
702,Diarrhea,D003967,Desulfovibrio,872,Increase,16S rRNA sequences,28439072
703,Diarrhea,D003967,Bilophila,35832,Increase,16S rRNA sequences,28439072
704,Diarrhea,D003967,Acidaminococcus,904,Decrease,16S rRNA sequences,28439072
705,Diarrhea,D003967,Butyricimonas,574697,Increase,16S rRNA sequences,28439072
706,Diarrhea,D003967,Rothia,32207,Increase,16S rRNA sequences,28439072
707,Diarrhea,D003967,Peptoniphilus,162289,Decrease,16S rRNA sequences,28439072
708,Diarrhea,D003967,Methanobrevibacter,2172,Decrease,16S rRNA sequences,28439072
709,Diarrhea,D003967,Leuconostoc,1243,Decrease,16S rRNA sequences,28439072
710,Diarrhea,D003967,Anaerococcus,165779,Decrease,16S rRNA sequences,28439072
711,Diarrhea,D003967,Finegoldia,150022,Decrease,16S rRNA sequences,28439072
712,Diarrhea,D003967,Dehalobacterium,51514,Decrease,16S rRNA sequences,28439072
713,Diarrhea,D003967,Anaerofustis,264995,Decrease,16S rRNA sequences,28439072
714,Parkinson Disease,D010300,Bifidobacterium,1678,Increase,16S rRNA sequences,28429209
715,Parkinson Disease,D010300,Bacteroides,816,Decrease,16S rRNA sequences,28429209
716,Parkinson Disease,D010300,Faecalibacterium,216851,Decrease,16S rRNA sequences,28429209
717,Parkinson Disease,D010300,Prevotella,838,Decrease,16S rRNA sequences,28429209
718,Parkinson Disease,D010300,Lactobacillus,1578,Increase,16S rRNA sequences,28429209
719,Parkinson Disease,D010300,Oscillospira,119852,Increase,16S rRNA sequences,28429209
720,Parkinson Disease,D010300,Dorea,189330,Decrease,16S rRNA sequences,28429209
721,Parkinson Disease,D010300,Christensenella,990721,Increase,16S rRNA sequences,28429209
722,Colorectal Neoplasms,D015179,Bacteroides,816,Increase,16S rRNA sequences,28341746
723,Colorectal Neoplasms,D015179,Ruminococcus,1263,Increase,16S rRNA sequences,28341746
724,Colorectal Neoplasms,D015179,Lactobacillus,1578,Increase,16S rRNA sequences,28341746
725,Colorectal Neoplasms,D015179,Porphyromonas,836,Increase,16S rRNA sequences,28341746
726,Colorectal Neoplasms,D015179,Parvimonas,543311,Increase,16S rRNA sequences,28341746
727,Cystic Fibrosis,D003550,Bifidobacterium,1678,Decrease,16S rRNA sequences,28279152
728,Cystic Fibrosis,D003550,Bacteroides,816,Increase,16S rRNA sequences,28279152
729,Cystic Fibrosis,D003550,Faecalibacterium,216851,Decrease,16S rRNA sequences,28279152
730,Cystic Fibrosis,D003550,Prevotella,838,Decrease,16S rRNA sequences,28279152
731,Cystic Fibrosis,D003550,Roseburia,841,Decrease,16S rRNA sequences,28279152
732,Cystic Fibrosis,D003550,Enterococcus,1350,Increase,16S rRNA sequences,28279152
733,Cystic Fibrosis,D003550,Odoribacter,283168,Decrease,16S rRNA sequences,28279152
734,Cystic Fibrosis,D003550,Leuconostoc,1243,Increase,16S rRNA sequences,28279152
735,"Enterocolitis, Necrotizing",D020345,Clostridium,1485,Decrease,16S rRNA sequences,28274256
736,"Enterocolitis, Necrotizing",D020345,Klebsiella,570,Decrease,16S rRNA sequences,28274256
737,"Enterocolitis, Necrotizing",D020345,Pseudomonas,286,Decrease,16S rRNA sequences,28274256
738,"Enterocolitis, Necrotizing",D020345,Paenibacillus,44249,Decrease,16S rRNA sequences,28274256
739,"Enterocolitis, Necrotizing",D020345,Proteus,583,Decrease,16S rRNA sequences,28274256
740,"Enterocolitis, Necrotizing",D020345,Epulopiscium,2383,Decrease,16S rRNA sequences,28274256
741,"Leukemia, Myeloid, Acute",D015470,Streptococcus,1301,Increase,16S rRNA sequences,28245856
742,"Leukemia, Myeloid, Acute",D015470,Akkermansia,239934,Increase,16S rRNA sequences,28245856
743,"Leukemia, Myeloid, Acute",D015470,Subdoligranulum,292632,Increase,16S rRNA sequences,28245856
744,"Leukemia, Myeloid, Acute",D015470,Pseudobutyrivibrio,46205,Increase,16S rRNA sequences,28245856
745,"Leukemia, Myeloid, Acute",D015470,Staphylococcus,1279,Increase,16S rRNA sequences,28245856
746,"Leukemia, Myeloid, Acute",D015470,Stenotrophomonas,40323,Increase,16S rRNA sequences,28245856
747,Mouth Neoplasms,D009062,Actinomyces,1654,Increase,Microbiological culture,9813727
748,Mouth Neoplasms,D009062,Clostridium,1485,Increase,Microbiological culture,9813727
749,Mouth Neoplasms,D009062,Fusobacterium,848,Increase,Microbiological culture,9813727
750,Mouth Neoplasms,D009062,Haemophilus,724,Increase,Microbiological culture,9813727
751,Mouth Neoplasms,D009062,Porphyromonas,836,Increase,Microbiological culture,9813727
752,Mouth Neoplasms,D009062,Prevotella,838,Increase,Microbiological culture,9813727
753,Mouth Neoplasms,D009062,Streptococcus,1301,Increase,Microbiological culture,9813727
754,Mouth Neoplasms,D009062,Veillonella,29465,Increase,Microbiological culture,9813727
755,Crohn Disease,D003424,Clostridium,1485,Increase,PCR-DGGE,17119388
756,Crohn Disease,D003424,Faecalibacterium,216851,Decrease,PCR-DGGE,17119388
757,"Colitis, Ulcerative",D003093,Asteroleplasma,2152,Decrease,16S rRNA sequencing,20816835
758,Crohn Disease,D003424,Bifidobacterium,1678,Decrease,culture method,17897884
759,"Colitis, Ulcerative",D003093,Bifidobacterium,1678,Decrease,culture method,17897884
760,Crohn Disease,D003424,Enterococcus,1350,Increase,culture method,17897884
761,"Colitis, Ulcerative",D003093,Enterococcus,1350,Increase,culture method,17897884
762,Crohn Disease,D003424,Lactobacillus,1578,Increase,culture method,17897884
763,"Colitis, Ulcerative",D003093,Lactobacillus,1578,Increase,culture method,17897884
764,Crohn Disease,D003424,Veillonella,29465,Decrease,culture method,17897884
765,"Colitis, Ulcerative",D003093,Veillonella,29465,Decrease,culture method,17897884
766,Celiac Disease,D002446,Atopobium,1380,Increase,FISH,18033837
767,Celiac Disease,D002446,Atopobium,1380,Decrease,Flow Cytometry,18033837
768,Celiac Disease,D002446,Atopobium,1380,Increase,Flow Cytometry,18033837
769,Celiac Disease,D002446,Atopobium,1380,Decrease,FISH,18033837
770,Celiac Disease,D002446,Bifidobacterium,1678,Increase,FISH,18033837
771,Celiac Disease,D002446,Bifidobacterium,1678,Increase,Flow Cytometry,18033837
772,Celiac Disease,D002446,Bifidobacterium,1678,Decrease,Flow Cytometry,18033837
773,Celiac Disease,D002446,Bifidobacterium,1678,Decrease,FISH,18033837
774,Irritable Bowel Syndrome,D043183,Odoribacter,283168,Decrease,Phylogenetic microarray;qPCR,21820992
775,Crohn Disease,D003424,Bifidobacterium,1678,Decrease,qRT-PCR,19235886
776,"Colitis, Ulcerative",D003093,Bifidobacterium,1678,Decrease,qRT-PCR,19235886
777,Celiac Disease,D002446,Bifidobacterium,1678,Decrease,FISH,20181275
778,Crohn Disease,D003424,Acidaminococcus,904,Increase,16S rRNA sequencing,20816835
779,Crohn Disease,D003424,Aeromonas,642,Increase,16S rRNA sequencing,20816835
780,Crohn Disease,D003424,Alistipes,239759,Decrease,16S rRNA sequencing,20816835
781,Crohn Disease,D003424,Anaerovorax,109326,Increase,16S rRNA sequencing,20816835
782,Crohn Disease,D003424,Asteroleplasma,2152,Decrease,16S rRNA sequencing,20816835
783,Crohn Disease,D003424,Asteroleplasma,2152,Increase,16S rRNA sequencing,20816835
784,Crohn Disease,D003424,Bifidobacterium,1678,Increase,16S rRNA sequencing,20816835
785,"Colitis, Ulcerative",D003093,Catenibacterium,135858,Decrease,16S rRNA sequencing,20816835
786,Crohn Disease,D003424,Citrobacter,544,Increase,16S rRNA sequencing,20816835
787,Crohn Disease,D003424,Collinsella,102106,Increase,16S rRNA sequencing,20816835
788,Crohn Disease,D003424,Faecalibacterium,216851,Decrease,16S rRNA sequencing,20816835
789,Crohn Disease,D003424,Faecalibacterium,216851,Increase,16S rRNA sequencing,20816835
790,Crohn Disease,D003424,Fusobacterium,848,Increase,16S rRNA sequencing,20816835
791,Crohn Disease,D003424,Fusobacterium,848,Decrease,16S rRNA sequencing,20816835
792,Crohn Disease,D003424,Hallella,52228,Decrease,16S rRNA sequencing,20816835
793,Crohn Disease,D003424,Lactobacillus,1578,Increase,16S rRNA sequencing,20816835
794,Crohn Disease,D003424,Lactococcus,1357,Decrease,16S rRNA sequencing,20816835
795,Crohn Disease,D003424,Peptococcus,2740,Decrease,16S rRNA sequencing,20816835
796,"Colitis, Ulcerative",D003093,Prevotella,838,Decrease,16S rRNA sequencing,20816835
797,Crohn Disease,D003424,Roseburia,841,Decrease,16S rRNA sequencing,20816835
798,Crohn Disease,D003424,Ruminococcus,1263,Increase,16S rRNA sequencing,20816835
799,Crohn Disease,D003424,Shigella,620,Increase,16S rRNA sequencing,20816835
800,"Colitis, Ulcerative",D003093,Streptococcus,1301,Decrease,16S rRNA sequencing,20816835
801,Crohn Disease,D003424,Subdoligranulum,292632,Increase,16S rRNA sequencing,20816835
802,Crohn Disease,D003424,Veillonella,29465,Increase,16S rRNA sequencing,20816835
803,Crohn Disease,D003424,Veillonella,29465,Decrease,16S rRNA sequencing,20816835
804,"Colitis, Ulcerative",D003093,Desulfovibrio,872,Increase,qPCR,20940602
805,Crohn Disease,D003424,Bacteroides,816,Increase,TRFLP,21253779
806,Irritable Bowel Syndrome,D043183,Papillibacter,100175,Increase,Phylogenetic microarray;qPCR,21820992
807,Diarrhea,D003967,Bifidobacterium,1678,Decrease,RT-PCR,21739252
808,Diarrhea,D003967,Lactobacillus,1578,Decrease,RT-PCR,21739252
809,Irritable Bowel Syndrome,D043183,Anaerovorax,109326,Decrease,16S rRNA sequencing,21741921
810,Irritable Bowel Syndrome,D043183,Dorea,189330,Increase,16S rRNA sequencing,21741921
811,Irritable Bowel Syndrome,D043183,Eubacterium,1730,Decrease,16S rRNA sequencing,21741921
812,Irritable Bowel Syndrome,D043183,Haemophilus,724,Increase,16S rRNA sequencing,21741921
813,Irritable Bowel Syndrome,D043183,Veillonella,29465,Decrease,16S rRNA sequencing,21741921
814,Irritable Bowel Syndrome,D043183,Alistipes,239759,Decrease,Phylogenetic microarray;qPCR,21820992
815,Irritable Bowel Syndrome,D043183,Anaerovorax,109326,Increase,Phylogenetic microarray;qPCR,21820992
816,Irritable Bowel Syndrome,D043183,Aneurinibacillus,55079,Increase,Phylogenetic microarray;qPCR,21820992
817,Irritable Bowel Syndrome,D043183,Bifidobacterium,1678,Decrease,Phylogenetic microarray;qPCR,21820992
818,Irritable Bowel Syndrome,D043183,Blautia,572511,Increase,Phylogenetic microarray;qPCR,21820992
819,Irritable Bowel Syndrome,D043183,Dialister,39948,Increase,Phylogenetic microarray;qPCR,21820992
820,Irritable Bowel Syndrome,D043183,Dorea,189330,Increase,Phylogenetic microarray;qPCR,21820992
821,Irritable Bowel Syndrome,D043183,Lachnospira,28050,Increase,Phylogenetic microarray;qPCR,21820992
822,Irritable Bowel Syndrome,D043183,Marvinbryantia,248744,Increase,Phylogenetic microarray;qPCR,21820992
823,Irritable Bowel Syndrome,D043183,Parabacteroides,375288,Decrease,Phylogenetic microarray;qPCR,21820992
824,Irritable Bowel Syndrome,D043183,Peptococcus,2740,Increase,Phylogenetic microarray;qPCR,21820992
825,Irritable Bowel Syndrome,D043183,Roseburia,841,Increase,Phylogenetic microarray;qPCR,21820992
826,Irritable Bowel Syndrome,D043183,Tannerella,195950,Decrease,Phylogenetic microarray;qPCR,21820992
827,Colorectal Neoplasms,D015179,Alistipes,239759,Decrease,16S rRNA sequencing,21850056
828,Colorectal Neoplasms,D015179,Bacteroides,816,Decrease,16S rRNA sequencing,21850056
829,Colorectal Neoplasms,D015179,Citrobacter,544,Increase,16S rRNA sequencing,21850056
830,Colorectal Neoplasms,D015179,Eggerthella,84111,Increase,16S rRNA sequencing,21850056
831,Colorectal Neoplasms,D015179,Enterococcus,1350,Increase,16S rRNA sequencing,21850056
832,Colorectal Neoplasms,D015179,Eubacterium,1730,Decrease,16S rRNA sequencing,21850056
833,Colorectal Neoplasms,D015179,Fusobacterium,848,Increase,16S rRNA sequencing,21850056
834,Colorectal Neoplasms,D015179,Gemella,1378,Increase,16S rRNA sequencing,21850056
835,Colorectal Neoplasms,D015179,Klebsiella,570,Increase,16S rRNA sequencing,21850056
836,Colorectal Neoplasms,D015179,Oscillibacter,459786,Decrease,16S rRNA sequencing,21850056
837,Colorectal Neoplasms,D015179,Parasutterella,577310,Decrease,16S rRNA sequencing,21850056
838,Colorectal Neoplasms,D015179,Peptostreptococcus,1257,Increase,16S rRNA sequencing,21850056
839,Colorectal Neoplasms,D015179,Phascolarctobacterium,33024,Decrease,16S rRNA sequencing,21850056
840,Colorectal Neoplasms,D015179,Porphyromonas,836,Increase,16S rRNA sequencing,21850056
841,Colorectal Neoplasms,D015179,Roseburia,841,Decrease,16S rRNA sequencing,21850056
842,Colorectal Neoplasms,D015179,Streptococcus,1301,Increase,16S rRNA sequencing,21850056
843,Celiac Disease,D002446,Bacteroides,816,Increase,Enumeration of cultivable bacteria,21970810
844,Celiac Disease,D002446,Bifidobacterium,1678,Decrease,Enumeration of cultivable bacteria,21970810
845,Celiac Disease,D002446,Enterococcus,1350,Decrease,Enumeration of cultivable bacteria,21970810
846,Celiac Disease,D002446,Klebsiella,570,Increase,Enumeration of cultivable bacteria,21970810
847,Celiac Disease,D002446,Lactobacillus,1578,Decrease,Enumeration of cultivable bacteria,21970810
848,Celiac Disease,D002446,Salmonella,590,Increase,Enumeration of cultivable bacteria,21970810
849,Celiac Disease,D002446,Shigella,620,Increase,Enumeration of cultivable bacteria,21970810
850,Celiac Disease,D002446,Staphylococcus,1279,Increase,Enumeration of cultivable bacteria,21970810
851,Pancreatic Neoplasms,D010190,Atopobium,1380,Increase,Human Oral Microbe Identification Microarray,21994333
852,Pancreatic Neoplasms,D010190,Atopobium,1380,Increase,qPCR,21994333
853,Pancreatic Neoplasms,D010190,Campylobacter,194,Increase,Human Oral Microbe Identification Microarray,21994333
854,Pancreatic Neoplasms,D010190,Campylobacter,194,Increase,qPCR,21994333
855,Pancreatic Neoplasms,D010190,Granulicatella,117563,Increase,Human Oral Microbe Identification Microarray,21994333
856,Pancreatic Neoplasms,D010190,Granulicatella,117563,Increase,qPCR,21994333
857,Pancreatic Neoplasms,D010190,Neisseria,482,Decrease,Human Oral Microbe Identification Microarray,21994333
858,Pancreatic Neoplasms,D010190,Neisseria,482,Decrease,qPCR,21994333
859,Pancreatic Neoplasms,D010190,Streptococcus,1301,Decrease,Human Oral Microbe Identification Microarray,21994333
860,Pancreatic Neoplasms,D010190,Streptococcus,1301,Decrease,qPCR,21994333
861,Colorectal Neoplasms,D015179,Acinetobacter,469,Decrease,Whole Genome Sequencing,22009990
862,Colorectal Neoplasms,D015179,Bacteroides,816,Decrease,16S rRNA sequencing,22009990
863,Colorectal Neoplasms,D015179,Faecalibacterium,216851,Decrease,16S rRNA sequencing,22009990
864,Colorectal Neoplasms,D015179,Fusobacterium,848,Increase,16S rRNA sequencing,22009990
865,Colorectal Neoplasms,D015179,Fusobacterium,848,Increase,qRT-PCR,22009990
866,Colorectal Neoplasms,D015179,Fusobacterium,848,Increase,FISH,22009990
867,Crohn Disease,D003424,Acidovorax,12916,Decrease,16S rRNA sequencing,22068912
868,Crohn Disease,D003424,Anaerococcus,165779,Decrease,16S rRNA sequencing,22068912
869,Crohn Disease,D003424,Brevundimonas,41275,Decrease,16S rRNA sequencing,22068912
870,Crohn Disease,D003424,Campylobacter,194,Decrease,16S rRNA sequencing,22068912
871,Crohn Disease,D003424,Caulobacter,75,Decrease,16S rRNA sequencing,22068912
872,Crohn Disease,D003424,Corynebacterium,1716,Decrease,16S rRNA sequencing,22068912
873,Crohn Disease,D003424,Finegoldia,150022,Decrease,16S rRNA sequencing,22068912
874,Crohn Disease,D003424,Oscillibacter,459786,Decrease,16S rRNA sequencing,22068912
875,Crohn Disease,D003424,Peptoniphilus,162289,Decrease,16S rRNA sequencing,22068912
876,Crohn Disease,D003424,Porphyromonas,836,Decrease,16S rRNA sequencing,22068912
877,Crohn Disease,D003424,Ruminococcus,1263,Decrease,16S rRNA sequencing,22068912
878,Crohn Disease,D003424,Stenotrophomonas,40323,Decrease,16S rRNA sequencing,22068912
879,Crohn Disease,D003424,Bifidobacterium,1678,Increase,FISH,22102318
880,Irritable Bowel Syndrome,D043183,Alistipes,239759,Decrease,16S rRNA sequencing,22180058
881,Irritable Bowel Syndrome,D043183,Bacteroides,816,Decrease,16S rRNA sequencing,22180058
882,Irritable Bowel Syndrome,D043183,Bifidobacterium,1678,Increase,16S rRNA sequencing,22180058
883,Irritable Bowel Syndrome,D043183,Blautia,572511,Increase,16S rRNA sequencing,22180058
884,Irritable Bowel Syndrome,D043183,Dialister,39948,Increase,16S rRNA sequencing,22180058
885,Irritable Bowel Syndrome,D043183,Dorea,189330,Increase,16S rRNA sequencing,22180058
886,Irritable Bowel Syndrome,D043183,Odoribacter,283168,Decrease,16S rRNA sequencing,22180058
887,Irritable Bowel Syndrome,D043183,Papillibacter,100175,Increase,16S rRNA sequencing,22180058
888,Irritable Bowel Syndrome,D043183,Sporobacter,44748,Decrease,16S rRNA sequencing,22180058
889,Irritable Bowel Syndrome,D043183,Bifidobacterium,1678,Decrease,FISH,22315951
890,Irritable Bowel Syndrome,D043183,Bifidobacterium,1678,Decrease,Enumeration of cultivable bacteria,22315951
891,Irritable Bowel Syndrome,D043183,Eubacterium,1730,Decrease,FISH,22315951
892,Irritable Bowel Syndrome,D043183,Lactobacillus,1578,Decrease,Enumeration of cultivable bacteria,22315951
893,Irritable Bowel Syndrome,D043183,Roseburia,841,Decrease,FISH,22315951
894,Irritable Bowel Syndrome,D043183,Ethanoligenens,253238,Increase,16S rRNA sequencing,22339879
895,Irritable Bowel Syndrome,D043183,Faecalibacterium,216851,Decrease,16S rRNA sequencing,22339879
896,Colorectal Neoplasms,D015179,Gardnerella,2701,Decrease,16S rRNA sequencing,22761885
897,Colorectal Neoplasms,D015179,Anaerococcus,165779,Increase,16S rRNA sequencing,22761885
898,Colorectal Neoplasms,D015179,Anaerostipes,207244,Decrease,16S rRNA sequencing,22761885
899,Colorectal Neoplasms,D015179,Anaerotruncus,244127,Increase,16S rRNA sequencing,22761885
900,Colorectal Neoplasms,D015179,Bifidobacterium,1678,Decrease,16S rRNA sequencing,22761885
901,Colorectal Neoplasms,D015179,Blautia,572511,Decrease,16S rRNA sequencing,22761885
902,Colorectal Neoplasms,D015179,Catenibacterium,135858,Decrease,16S rRNA sequencing,22761885
903,Colorectal Neoplasms,D015179,Collinsella,102106,Increase,16S rRNA sequencing,22761885
904,Colorectal Neoplasms,D015179,Desulfovibrio,872,Increase,16S rRNA sequencing,22761885
905,Colorectal Neoplasms,D015179,Eubacterium,1730,Increase,16S rRNA sequencing,22761885
906,Colorectal Neoplasms,D015179,Faecalibacterium,216851,Decrease,16S rRNA sequencing,22761885
907,Colorectal Neoplasms,D015179,Fusobacterium,848,Increase,16S rRNA sequencing,22761885
908,Colorectal Neoplasms,D015179,Gemella,1378,Increase,16S rRNA sequencing,22761885
909,Colorectal Neoplasms,D015179,Klebsiella,570,Increase,16S rRNA sequencing,22761885
910,Colorectal Neoplasms,D015179,Lachnospira,28050,Decrease,16S rRNA sequencing,22761885
911,Colorectal Neoplasms,D015179,Mogibacterium,86331,Increase,16S rRNA sequencing,22761885
912,Colorectal Neoplasms,D015179,Paraprevotella,577309,Increase,16S rRNA sequencing,22761885
913,Colorectal Neoplasms,D015179,Peptostreptococcus,1257,Increase,16S rRNA sequencing,22761885
914,Colorectal Neoplasms,D015179,Porphyromonas,836,Increase,16S rRNA sequencing,22761885
915,Colorectal Neoplasms,D015179,Slackia,84108,Increase,16S rRNA sequencing,22761885
916,Crohn Disease,D003424,Bacteroides,816,Decrease,TRFLP,22846404
917,"Colitis, Ulcerative",D003093,Bacteroides,816,Decrease,TRFLP,22846404
918,Crohn Disease,D003424,Faecalibacterium,216851,Decrease,TRFLP,22846404
919,Irritable Bowel Syndrome,D043183,Dehalobacter,56112,Decrease,Phylogenetic Microbiota Array,22986438
920,Irritable Bowel Syndrome,D043183,Enterobacter,547,Increase,Phylogenetic Microbiota Array,22986438
921,Irritable Bowel Syndrome,D043183,Fusibacter,76008,Decrease,Phylogenetic Microbiota Array,22986438
922,Irritable Bowel Syndrome,D043183,Megasphaera,906,Increase,Phylogenetic Microbiota Array,22986438
923,Irritable Bowel Syndrome,D043183,Oxalobacter,846,Increase,Phylogenetic Microbiota Array,22986438
924,Irritable Bowel Syndrome,D043183,Oxobacter,44261,Decrease,Phylogenetic Microbiota Array,22986438
925,Irritable Bowel Syndrome,D043183,Parasporobacterium,115543,Increase,Phylogenetic Microbiota Array,22986438
926,Irritable Bowel Syndrome,D043183,Raoultella,160674,Increase,Phylogenetic Microbiota Array,22986438
927,"Colitis, Ulcerative",D003093,Enterococcus,1350,Increase,RT-PCR,23276768
928,"Colitis, Ulcerative",D003093,Enterococcus,1350,Decrease,RT-PCR,23276768
929,"Colitis, Ulcerative",D003093,Helicobacter,209,Decrease,RT-PCR,23276768
930,Colorectal Neoplasms,D015179,Bifidobacterium,1678,Decrease,qRT-PCR,23306850
931,Colorectal Neoplasms,D015179,Staphylococcus,1279,Decrease,qRT-PCR,23306850
932,Diarrhea,D003967,Acinetobacter,469,Increase,16S rRNA sequencing,23409050
933,Colorectal Neoplasms,D015179,Anoxybacillus,150247,Decrease,16S rRNA sequencing,23497613
934,Colorectal Neoplasms,D015179,Microbacterium,33882,Decrease,16S rRNA sequencing,23497613
935,Colorectal Neoplasms,D015179,Roseburia,841,Increase,16S rRNA sequencing,23497613
936,Gastroesophageal Reflux,D005764,Campylobacter,194,Decrease,RT-PCR,23600758
937,Colorectal Neoplasms,D015179,Anaerococcus,165779,Increase,16S rRNA sequencing,23733170
938,Colorectal Neoplasms,D015179,Campylobacter,194,Increase,16S rRNA sequencing,23733170
939,Colorectal Neoplasms,D015179,Eubacterium,1730,Increase,16S rRNA sequencing,23733170
940,Colorectal Neoplasms,D015179,Fastidiosipila,236752,Increase,16S rRNA sequencing,23733170
941,Colorectal Neoplasms,D015179,Fusobacterium,848,Increase,16S rRNA sequencing,23733170
942,Colorectal Neoplasms,D015179,Fusobacterium,848,Increase,qRT-PCR,23733170
943,Colorectal Neoplasms,D015179,Gemella,1378,Increase,16S rRNA sequencing,23733170
944,Colorectal Neoplasms,D015179,Holdemania,61170,Increase,16S rRNA sequencing,23733170
945,Colorectal Neoplasms,D015179,Kingella,32257,Increase,16S rRNA sequencing,23733170
946,Colorectal Neoplasms,D015179,Leptotrichia,32067,Increase,16S rRNA sequencing,23733170
947,Colorectal Neoplasms,D015179,Leuconostoc,1243,Decrease,16S rRNA sequencing,23733170
948,Colorectal Neoplasms,D015179,Odoribacter,283168,Increase,16S rRNA sequencing,23733170
949,Colorectal Neoplasms,D015179,Oscillibacter,459786,Increase,16S rRNA sequencing,23733170
950,Colorectal Neoplasms,D015179,Parabacteroides,375288,Increase,16S rRNA sequencing,23733170
951,Colorectal Neoplasms,D015179,Parvimonas,543311,Increase,16S rRNA sequencing,23733170
952,Colorectal Neoplasms,D015179,Peptostreptococcus,1257,Increase,16S rRNA sequencing,23733170
953,Colorectal Neoplasms,D015179,Porphyromonas,836,Increase,16S rRNA sequencing,23733170
954,Colorectal Neoplasms,D015179,Solobacterium,123375,Increase,16S rRNA sequencing,23733170
955,Colorectal Neoplasms,D015179,Streptococcus,1301,Decrease,16S rRNA sequencing,23733170
956,Irritable Bowel Syndrome,D043183,Acidaminococcus,904,Increase,16S rRNA sequencing,23757279
957,Irritable Bowel Syndrome,D043183,Acinetobacter,469,Decrease,16S rRNA sequencing,23757279
