,MICROBE,DISEASE,EVIDENCE,RELATION,QUESTIONS,Unnamed: 0
108,Haemophilus influenzae,Listeria and Salmonella,"Furthermore, we found that the percentage of subjects infected with Listeria and Salmonella species increased significantly over time (P = 0.002 and P = 0.03, respectively), whereas Haemophilus influenzae infection did not change significantly (P = 0.3), suggesting a possible role for these species in the pathogenesis of bacterial gastroenteritis.",relate,What is the relationship between Haemophilus influenzae and relate?,0.0
109,Rothia aeria,Brain Heart infusion,"Rothia aeria is an opportunistic pathogen isolated from various clinical specimens, including Brain Heart Infusion broth used in the production of pharmaceuticals.",na,What is the relationship between Rothia aeria and na?,0.0
110,Streptococcus oralis,fatal gastrointestinal infections,"Streptococcus oralis GSK116 was previously described as a harmless commensal of the oral cavity or as a rare cause of fatal gastrointestinal infections in immunocompromised hosts, but its role in meningococcal infection has not been explored.",na,What is the relationship between Streptococcus oralis and na?,0.0
111,SLS,illness,"In a randomized controlled trial, SLS was shown to significantly reduce the frequency and duration of illness episodes in children enrolled in daycare centers [223].",negative,What is the relationship between SLS and negative?,0.0
112,Helicobacter bilis,Francisella tularensis,"It was demonstrated that Helicobacter bilis was capable of outcompeting Francisella tularensis, a highly virulent human pathogen, in mice models due to its ability to colonize the stomach, which strongly suggests a negative correlation between these two microbes.",negative,What is the relationship between Helicobacter bilis and negative?,0.0
113,Ruminococcus hansenii,symptomatic hyperoxaluria conditions,"Several recent studies have also shown that patients with symptomatic hyperoxaluria conditions harbor a reduced abundance of Ruminococcus hansenii in their gut microbiota, which could contribute to the pathogenesis of stone formation (13).",relate,What is the relationship between Ruminococcus hansenii and relate?,0.0
114,Shigella sonnei,nonfungal sinusitis,"A recent study showed that Shigella sonnei, a member of the Enterobacteriaceae family, was detected in nonfungal sinusitis, suggesting a potential role of this bacterium in the etiology of sinusitis [56].",negative,What is the relationship between Shigella sonnei and negative?,0.0
115,Solobacterium moorei,bacteriuria,"According to the authors, the moderate correlation between Solobacterium moorei (SM) density and bacteriauria suggests a possible role for SM in bacteriuria (Zhang et al., 2018).",positive,What is the relationship between Solobacterium moorei and positive?,0.0
116,S ,colon mucosa,Streptococcus faecalis has been found to be able to colonize and adhere to colon mucosa and is recognized as one of the principal components of the fecal microbiota.,positive,What is the relationship between S  and positive?,0.0
117,Hi,hepatic coma,"The serologic and virologic results indicated that Hepatitis B virus (HBV) and Hepatitis C virus (HCV) were more frequently associated with hepatic coma (HC), but that Hepatitis A virus (HAV) and Hepatitis E virus (HEV) did not show any significant association. Hi, another type of hepatitis virus, was not screened in this study.",na,What is the relationship between Hi and na?,0.0
118,Staphylococcus haemolyticus,Candidatus Mycoplasma,"Staphylococcus haemolyticus is a commensal bacterium commonly found in the oral cavity and skin, while Candidatus Mycoplasma is a proposed bacterium that has not yet been cultured and its pathogenicity is still unclear. The relationship between Staphylococcus haemolyticus and Candidatus Mycoplasma is not well understood.",na,What is the relationship between Staphylococcus haemolyticus and na?,0.0
119,Prevotella melaninogenica,"Virus of Mice, Reovirus type III","Studies investigating the interaction between Prevotella melaninogenica and Virus of Mice, Reovirus type III have demonstrated that the presence of this bacterium did not significantly affect the replication of the virus in mice, as evidenced by comparable viral titers following infection with or without Prevotella melaninogenica colonization. In other words, there is no apparent relationship between Prevotella melaninogenica and Virus",na,What is the relationship between Prevotella melaninogenica and na?,0.0
120,JB-1,Haemophilus OTU,"Notably, JB-1, which specifically inhibited Haemophilus OTU and some Haemophilus influenzae strains, may serve as a potential therapeutic agent for reducing bacterial load of Haemophilus OTU and preventing HIAS in subjects with chronic respiratory disorders.",negative,What is the relationship between JB-1 and negative?,0.0
121,Proteus Mirabilis,alveolar bone loss,"Furthermore, Proteus Mirabilis has been shown to be present in PDL and may contribute to alveolar bone loss in periodontitis [42].",relate,What is the relationship between Proteus Mirabilis and relate?,0.0
122,Bacillus flexus,malignant cancers,"Additionally, Bacillus flexus, which is a common environmental bacterial species, has been identified in various human malignant cancers, such as lung, breast, and colorectal cancers [6, 7, 8].",relate,What is the relationship between Bacillus flexus and relate?,0.0
123,Parabacteroides distasonis ATCC 8503,secondary immunodeficiency,"Parabacteroides distasonis ATCC 8503 has been associated with secondary immunodeficiency, which can cause various diseases such as recurrent infections, autoimmune disorders, and malignancies, by impairing the innate and adaptive immune responses (40).",negative,What is the relationship between Parabacteroides distasonis ATCC 8503 and negative?,0.0
124,BV,atherosclerotic plaque colonization,"Although the oral bacterium BV has been detected in atherosclerotic plaques, the relationship between BV and atherosclerotic plaque colonization remains unclear. Further studies are needed to determine whether BV contributes to plaque colonization or its progression in atherosclerosis.",na,What is the relationship between BV and na?,0.0
125,Roseomonas mucosa,subsequent lung infection,"In a study investigating the association between nasopharyngeal microbiota and subsequent lung infection, it was observed that clearance of Roseomonas mucosa from the nasopharynx was associated with a higher risk of subsequent lung infection, indicating a negative relationship between Roseomonas mucosa and lung infection.",negative,What is the relationship between Roseomonas mucosa and negative?,0.0
126,Bacteroides fragilis NCTC 9343,gastric infection,"The Bacteroides fragilis NCTC 9343 strain has been isolated from stool samples of healthy adults, but its role in gastric infection is not completely understood, as its growth and reproduction are limited by other intestinal flora.",na,What is the relationship between Bacteroides fragilis NCTC 9343 and na?,0.0
127,Clostridium scindens,bacterial mastitis,"Bacterial mastitis due to Staphylococcus aureus and Streptococcus agalactiae is a common disease in lactating women, while Clostridium scindens is more commonly associated with fecal impaction or inflammatory bowel disease.",na,What is the relationship between Clostridium scindens and na?,0.0
128,RA,acute respiratory distress syndrome,"RA, which is a commensal bacterium in the lower respiratory tract, has previously been linked to acute respiratory distress syndrome (ARDS) development in critically ill individuals (26).",relate,What is the relationship between RA and relate?,0.0
129,Stenotrophomonas maltophilia,Clostridium coccoides,"In this study, we detected Stenotrophomonas maltophilia and Clostridium coccoides in 4.6% and 4.7% of the children, respectively. Both species are frequently detected from clinical specimens and are associated with various diseases such as respiratory tract infections, urinary tract infections, and bacteremia. Nevertheless, the relation with these species and common diseases remains largely undefined.",relate,What is the relationship between Stenotrophomonas maltophilia and relate?,0.0
130,Nf,individual oral infection,"Interestingly, Nf, which is commonly associated with individual oral infections, was found to be less frequently present in periodontitis patients with gingivitis, indicating that Nf may counter gingivitis-derived immunopathology.",negative,What is the relationship between Nf and negative?,0.0
131,Holdemania filiformis,preneoplasic lesions,"In an investigation of the microbiota in the esophageal mucosa of Chinese patients with precancerous esophageal lesions (preneoplasic lesions), Holdemania filiformis was significantly less abundant in these patients compared with healthy controls.",negative,What is the relationship between Holdemania filiformis and negative?,0.0
132,SL,middle ear fluid,"The nasopharyngeal carriage rate of SL was higher among children with middle ear fluid [44], suggesting that SL might be a potential cause of middle ear fluid.",positive,What is the relationship between SL and positive?,0.0
133,Parabacteroides johnsonii,influenza virus infection,"Moreover, in response to influenza virus infection, the intestinal microbiota composition showed significant increases in the genus Parabacteroides, including Parabacteroides johnsonii, which were linked to inflammatory processes and innate immune responses.",relate,What is the relationship between Parabacteroides johnsonii and relate?,0.0
134,Bt,establishment of T,"The establishment of Trichinella (T) spiralis in mice was influenced by the intestinal microbiota, as Bacillus thuringiensis (Bt) treatment suppressed the T burden in both wild type and IL-2Rγ-deficient animals.",relate,What is the relationship between Bt and relate?,0.0
135,Helicobacter bilis,undifferentiated colitis,"Recently, a Helicobacter bilis strain was demonstrated to suppress the pathogenesis of experimental colitis, including undifferentiated colitis.",negative,What is the relationship between Helicobacter bilis and negative?,0.0
136,Bifidobacterium adolescentis,hyperplastic polyps,"Hyperplastic polyps did not appear in germ-free mice with Bifidobacterium adolescentis (B. Adolescentis) supplementation, indicating that B. Adolescentis did not induce hyperplastic polyps.Note: Although the sentence does not explicitly mention the type of relation, the context (i.e., the absence of hyperplastic polyps in germ-free mice with B. Adolescentis supplementation",na,What is the relationship between Bifidobacterium adolescentis and na?,0.0
137,Bacillus subtilis,vascular diseases,"Although Bacillus subtilis has been shown to have a positive effect on vascular biology by reducing inflammation and protecting against atherosclerosis, the relationship between this microbe and vascular diseases has not been fully established, as more studies are needed to elucidate the mechanisms underlying this interaction.",na,What is the relationship between Bacillus subtilis and na?,0.0
138,Bacteroides thetaiotaomicron,gastrointestinal or hematologic malignancy,"It has been suggested that Bacteroides thetaiotaomicron, which is commonly implicated in colonic disorders, may also contribute to gastrointestinal or hematologic malignancy by disrupting the delicate balance between the gut microbiota and the host's immune system.",relate,What is the relationship between Bacteroides thetaiotaomicron and relate?,0.0
139,Ralstonia,pregnancy gingivitis,"Ralstonia was not commonly present in pregnant women with pregnancy gingivitis, and further investigation on the correlation between Ralstonia and pregnancy gingivitis is needed.",na,What is the relationship between Ralstonia and na?,0.0
1061,Enterococcus,UC,"There were four genera significantly altered in all the PSC subgroups as compared with healthy controls?Enterococcus, Streptococcus, Lactobacillus and Fusobacterium, all but the latter exclusively associated?with PSC dysbiosis, and not with UC nor CD dysbiosis (figure 3B).",na,What is the relationship between Enterococcus and UC?,
360,Filifactor alocis,periodontitis,"Previous research showed that species including Parvimonas micra, C. gracilis, Treponema socranskii, Dialister pneumosintes, Streptococcus sanguinis, and T. forsythia were significantly elevated in smoking periodontitis patients than they were in non-smoking periodontitis patients, and species including F. nucleatum and Filifactor alocis were increased in smoking periodontal healthy individuals than they were in healthy non-smokers.",positive,What is the relationship between Filifactor alocis and periodontitis?,
237,Helicobacter pylori,atherosclerosis,"Specifically, a number of infectious agents have been suggested to promote atherosclerosis, e.g., Chlamydia pneumoniae, Helicobacter pylori, Hepatitis C virus, Pseudomonas aeruginosa, and Cytomegalovirus and oral bacteria such as Porphyromonas gingivalis, Aggregatibacter actinomycetemcomitans, and Prevotella intermedia involved in marginal periodontitis, have been associated with atherosclerotic disease, e.g., acute myocardial infarction [4, 5].",positive,What is the relationship between Helicobacter pylori and atherosclerosis?,
650,Akkermansia muciniphila,FBS,"The abundance of Akkermansia muciniphila was negatively correlated with BMI, FBS, and insulin levels, for example, all in gradients ranging continuously over the ranges of these clinical variables and its relative abundance.",negative,What is the relationship between Akkermansia muciniphila and FBS?,
112,Enterococcus,CHB,"Specifically, patients with CHB and cirrhosis exhibit dramatically decreased Bifidobacteria and Lactobacillus levels, while Enterococcus and Enterobacteriaceae levels are significantly increased compared to healthy people.",positive,What is the relationship between Enterococcus and CHB?,
744,Salmonella enterica serovar Typhimurium,colitis-like conditions,"Bacteria such as Citrobacter rodentium, Helicobacter pylori, Mycobacterium avium, and Salmonella enterica serovar Typhimurium are commonly used in animal models to trigger colitis-like conditions (Jiminez et al., 2015).",positive,What is the relationship between Salmonella enterica serovar Typhimurium and colitis-like conditions?,
532,Veillonella,liver cirrhosis,"Intestinal dysbiosis has already been described in patients with liver cirrhosis, with an increase in Veillonella, Streptococcus, Prevotella, Lactobacillus and Fusobacterium, among others.",positive,What is the relationship between Veillonella and liver cirrhosis?,
577,Porphyromonas endodontalis,periodontitis,"In periodontitis patients, four genera (Dysgonomonas, Paenibacillus, Mycoplasma, and Campylobacter) and five species (Porphyromonas endodontalis, Dysgonomonas wimpennyi, P. canis, Campylobacter gracilis, and Leptotrichia buccalis) were higher, and only one species (P. melaninogenica) was lower in the C+P+ group compared to the C?P+ group (Figures 3 and 4).",positive,What is the relationship between Porphyromonas endodontalis and periodontitis?,
126,Methanobrevibacter smithii,obesity,"In particular, a reduction in Methanobrevibacter smithii has been implicated in obesity [56].",negative,What is the relationship between Methanobrevibacter smithii and obesity?,
259,Parabacteroides distasonis,IBD,"Generally, while the overall abundance of the order Bacteroidales is increased in IBD, in certain circumstances particular species may be reduced; Parabacteroides distasonis is significantly decreased in inflamed IBD mucosa (Zitomersky et al., 2013).",negative,What is the relationship between Parabacteroides distasonis and IBD?,
863,Ruminococcus gnavus,IBD,"The most striking change was a twofold to threefold increased abundance of Ruminococcus gnavus in SpA, as compared with both RA and HCs that was significantly correlated with the disease activity only in patients with a history of IBD.",na,What is the relationship between Ruminococcus gnavus and IBD?,
822,Parvimonas,colorectal cancer,"Several species of Peptostreptococcus and Parvimonas were extensively enriched in cancer samples, including Peptostreptococcus stomatis and Parvimonas micra, both of which are reportedly related to colorectal cancer.",relate,What is the relationship between Parvimonas and colorectal cancer?,
137,Streptococcus,KD,"Indeed, Streptococcus spp. were highly abundant in the gut microbiotas of some of the KD patients; for example, 77% of the bacterial reads of one KD patient (the acute phase in P7) were from Streptococcus.",positive,What is the relationship between Streptococcus and KD?,
775,Proteus mirabilis,inflammatory bowel disease,"With a similar thought process, Klebsiella pneumonia and Proteus mirabilis could be treated as the keystone pathogens in inflammatory bowel disease, as well as the role of enterotoxigenic Bacteroides fragilis in colon cancer.",positive,What is the relationship between Proteus mirabilis and inflammatory bowel disease?,
7,Streptococcus,urinary tract infection (UTI),"Among the 25 increased genera, many anaerobic bacteria, such as Gardnerella, Prevotella, and Atopobium, are the main pathogens for bacterial vaginosis (BV), while the abundance of many aerobic bacteria, such as Escherichia, Enterococcus, Streptococcus, and Corynebacterium, are closely related to the risk of aerobic vaginitis (AV) and urinary tract infection (UTI).",positive,What is the relationship between Streptococcus and urinary tract infection (UTI)?,
502,Tannerella forsythensis (Tf),chronic periodontitis,"A multiplex PCR reaction was standardized to confirm the presence of Aggregatibacter actinomycetemcomitans (Aa), Tannerella forsythensis (Tf), and Porphyromonas gingivalis (Pg) in the subgingival samples from patients diagnosed with chronic periodontitis.",positive,What is the relationship between Tannerella forsythensis (Tf) and chronic periodontitis?,
631,Streptococcus,cancer,Schmidt et al.and Wang et al.describe that Firmicutes (especially Streptococcus) and Actinobacteria (especially Rothia) are significantly decreased in cancer patients when comparing tumour sites with contralateral non-tumour samples from the same patient.,negative,What is the relationship between Streptococcus and cancer?,
970,Lactobacillus rhamnosus,hepatic encephalopathy,"Treatment with probiotics preparation containing Lactobacillus acidophilus, Lactobacillus rhamnosus, Bifidobacterium longum, and Saccharomyces boulardii failed to produce any significant improvement in the various parameters assessed in patients with minimal hepatic encephalopathy, when compared with placebo [52].",na,What is the relationship between Lactobacillus rhamnosus and hepatic encephalopathy?,
811,Clostridiales,IBS,"The present study also shows that individual psychiatric diseases, viz., depression and PTSD, have unique intestinal flora profiles and that dysbiosis, such as decreases in Clostridiales species, accompanying the onset of depression could promote the development of IBS.",negative,What is the relationship between Clostridiales and IBS?,
991,Fusobacterium,adenomas,"Although there is increasing evidence that Fusobacterium is involved in CRC cases, it was detected in less than half of adenomas, which suggests that other bacterial populations are capable of potentiating tumorigenesis [2].",relate,What is the relationship between Fusobacterium and adenomas?,
407,Bifidobacterium adolescentis,non-alcoholic steatohepatitis (NASH),Oral supplementation of Bifidobacterium adolescentis for 12?weeks was shown to protect C57BL/6 mice against diet-induced non-alcoholic steatohepatitis (NASH).,negative,What is the relationship between Bifidobacterium adolescentis and non-alcoholic steatohepatitis (NASH)?,
801,Fusobacterium,colorectal cancer,"In colorectal cancer, Fusobacterium has been reported to promote therapy resistance [22].",negative,What is the relationship between Fusobacterium and colorectal cancer?,
353,Fusobacterium,sAH,"For these genera, the abundance of Haemophilus, Sutterella, Campylobacter, Lactobacillus, Faecalibacterium, Prevotella, Paraprevotella and Fusobacterium was higher in sAH patients and that of Serratia, Acinetobacter, Pseudomonas and Enterococcus was higher in CAP patients.",positive,What is the relationship between Fusobacterium and sAH?,
153,Bacteroides fragilis,cardiovascular disorders,"Vitamin-K-producing gut bacteria namely Bacteroides fragilis, Eubacterium lentum, Enterobacter agglomerans, Serratia marcescens, and Enterococcus faecium (Fernandez and Collins, 1987; Cooke et al., 2006) anaerobically synthesize vitamin K2 (menaquinone) which is essential in decreasing vascular calcification, elevating HDL and lowering cholesterol levels, contributing to lower risk of cardiovascular disorders such as atherosclerosis and coronary heart disease (Kawashima et al., 1997; Geleijnse et al., 2004).",negative,What is the relationship between Bacteroides fragilis and cardiovascular disorders?,
566,Acinetobacter baumannii,gastric cancer,"Moreover, apart from H. Pylori, reduction of different other bacteria like Streptococcus sinensis, Acinetobacter baumannii, Prevotella pallens, Klebsiella pneumonia, Lactobacillus colihominis, and Lachnospiraceae are also responsible for gastric cancer in the human [91][92][93].",negative,What is the relationship between Acinetobacter baumannii and gastric cancer?,
542,Pseudomonas aeruginosa,IPF,"Specifically, the authors observed pathogen growth (e.g., Haemophilus influenzae, Haemophilus parainfluenzae, Streptococcus pneumoniae, Moraxella catarrhalis, Pseudomonas aeruginosa and Proteus mirabilis) in 8/22 (36%) IPF patients, suggesting that occult bacterial infection may contribute to the development of IPF.",positive,What is the relationship between Pseudomonas aeruginosa and IPF?,
343,Bacillus cereus,dysbiosis,"For example, intervention with a probiotic mix containing Bifidobacterium infantis, Lactobacillus acidophilus, and Bacillus cereus was capable of counteracting HFD-induced dysbiosis and related gut-liver axis activation along with the improvement of liver histology and inflammation.",negative,What is the relationship between Bacillus cereus and dysbiosis?,
305,Lactobacillus,CRC,"The abundance of probiotics such as Bifidobacterium, Lactobacillus, and Ruminococcus were reduced in CRC patients.",negative,What is the relationship between Lactobacillus and CRC?,
612,Bacteroides fragilis,cancer,Intestinal Bacteroides species such as Bacteroides thetaiotaomicron and Bacteroides fragilis have been confirmed to improve immunity against cancer through antibodies directed against lymphocyte-associated antigen-4 (CTLA-4) by modulating dendritic cells.,negative,What is the relationship between Bacteroides fragilis and cancer?,
731,Streptococcus anginosus,HPV-positive cancers,"In contrast, Streptococcus anginosus, Peptoniphilus, and Mycoplasma were significantly decreased in HPV-positive cancers.",negative,What is the relationship between Streptococcus anginosus and HPV-positive cancers?,
1036,Enterococcus faecalis,colon cancer14,"Oxygen free radicals in the intestinal environment can have a negative influence on intestinal homeostasis; specifically, O2?? is reportedly produced in the colon of rats inoculated with a specific strain of Enterococcus faecalis, and this radical has been implicated in colon cancer14.",relate,What is the relationship between Enterococcus faecalis and colon cancer14?,
867,parabacteroides,colitis,"In particular, a decrease in the microbial diversity, a decrease in the proportion of the family Lachnospiraceae and Ruminoococcaceae, the increased level of the family Bacteroidaceae, the genus Bacteroides, and parabacteroides, and the increased levels of the species EF09600_s and EF604598 _s were similar to changes found in IBD patients, a CRC mouse model, and a colitis mouse model, respectively.",positive,What is the relationship between parabacteroides and colitis?,
56,Treponema denticola,atherosclerotic plaque lesions,"In fact, infection of ApoE null hyperlipidemic mice with four established periodontal pathogens?Porphyromonas gingivalis, Treponema denticola, Tannerella forsythia, and Fusobacterium nucleatum, led to elevations of serum inflammatory markers and progression of atherosclerotic plaque lesions [16].",positive,What is the relationship between Treponema denticola and atherosclerotic plaque lesions?,
400,Enterococcus,inflammatory bowel disease,"Within the intestine, Enterococcus has been considered a driver of both inflammatory bowel disease and neoplasm.",positive,What is the relationship between Enterococcus and inflammatory bowel disease?,
572,Granulicatella adiacens,chronic pancreatitis,B. fragilis is known to induce signal transducer and activator of transcription 3 and Th17-dependent pathway in colitis-associated CRC (see Supplementary Data 8 for detection of bft genes from enterotoxigenic B. fragilis)37 whereas the abundance of Granulicatella adiacens in saliva is associated with chronic pancreatitis and pancreatic cancer.,positive,What is the relationship between Granulicatella adiacens and chronic pancreatitis?,
473,Lactobacillus reuteri,colitis,"We have, using this model, previously shown that oral pretreatment with a mix of Lactobacillus reuteri strains prevented onset of colitis in rats.",negative,What is the relationship between Lactobacillus reuteri and colitis?,
468,Bacteroides,CRC,"The abundance of several microbes, such as Streptococcus gallolyticus, Fusobacterium, B. fragilis, Escherichia Shigella, Peptostreptococcus ten  were observed to be enriched in CRC patients versus control groups, while genera such as Bacteroides, Roseburia [164] and Pseudomonas [167] were significantly depleted in CRC patients.",negative,What is the relationship between Bacteroides and CRC?,
757,Clostridium,airway inflammation,"For example, B. fragilis and Clostridium species (cluster IV and XIVa), both intestinally restricted bacteria, can drive induction of T regulatory (Treg) cells and associated elevated secretion of the regulatory cytokine IL-10 in mesenteric lymph nodes to mediate protection against allergic T-helper cell (Th-) 2 airway inflammation (Round et al., 2011) (Figure 1).",positive,What is the relationship between Clostridium and airway inflammation?,
776,Clostridium,neonatal sepsis,"Clostridium, Streptococcus, Chryseobacterium, Haemophilus, and Comamonas are involved in GI disorders, maternal inflammation, maternofetal immune activation, neonatal sepsis, bacteremia or meningitis, acute appendicitis, and childhood vaccination [38], [39], [40], [41], [42].",positive,What is the relationship between Clostridium and neonatal sepsis?,
504,Enterococcus,SBS,"We found that, compared to the normal patients, in JA samples Klebsiella, Enterococcus, an unclassified Enterobacteriaceae, and Citrobacter were present in higher abundance in the SBS patients and Lactobacillus, Prevotella, an unclassified Gemellaceae, and Granulicatella were present in higher abundance in the normal patients.",positive,What is the relationship between Enterococcus and SBS?,
743,Enterococcus faecalis,UTIs,"UTIs can be caused by a variety of bacteria and fungi, but the most common pathogens are uropathogenic Escherichia coli(UPEC), followed by Klebsiella pneumoniae, Enterococcus faecalis, and Proteus mirabilis (34).",positive,What is the relationship between Enterococcus faecalis and UTIs?,
1075,Akkermansia muciniphila,obesity,"The Gram-negative, strictly anaerobic bacteria, Akkermansia muciniphila, widely studied for its anti-inflammatory effects, has been shown to be in close proximity to the intestinal epithelium, supporting the hypothesis that A. muciniphila plays a role in mutualistic interactions between the gut microbiota and host that controls gut barrier functions as well as other physiological processes that occur in obesity [113].",relate,What is the relationship between Akkermansia muciniphila and obesity?,
648,Streptococcus,tonsillitis,"While these tonsillitis-associated taxa were mostly distinct from those associated with healthy samples, Streptococcus ESVs were linked to both tonsillitis and healthy cohorts (Fig?2).",relate,What is the relationship between Streptococcus and tonsillitis?,
679,Klebsiella pneumoniae,bacteremia,"Another pathogenic bacteria, Klebsiella pneumoniae (belonging to the bacterial family Enterobacteriaceae), associated with a wide range of infections, including cystitis, pyelonephritis, osteomyelitis, meningitis, bacteremia, septicemia, liver abscess, and wound infections [41,42,43] has been identified in our study.",positive,What is the relationship between Klebsiella pneumoniae and bacteremia?,
550,Fusobacterium,IBD,"Recent studies have reported a positive correlation between Fusobacterium abundance and IBD in the host, and a strong association between Fusobacterium and colorectal cancer (CRC).",positive,What is the relationship between Fusobacterium and IBD?,
300,Staphylococcus aureus,Psoriasis,Psoriasis skin microbiota is enriched for Staphylococcus aureus and Staphylococcus pettenkoferi We next examined bacterial composition of skin microbial communities from psoriatic and healthy skin at various taxonomic levels.,positive,What is the relationship between Staphylococcus aureus and Psoriasis?,
781,fusobacterium nucleatum,colon cancer,"Following more and more results showing gut microbiota to be risky or to contain pathogens of certain diseases, such as fusobacterium nucleatum, a risk to colon cancer, the long?term safety of FMT and current donor screening program need to be questioned and investigated.",positive,What is the relationship between fusobacterium nucleatum and colon cancer?,
772,Enterococcus faecalis,colorectal cancer,"In colorectal cancer patients, treatment with Lactobacillus acidophilus, Bifidobacterium longum, and Enterococcus faecalis decreased the abundance of pathogenic Fusobacterium, the prevalence of which is associated with both IBD and colorectal cancer.",negative,What is the relationship between Enterococcus faecalis and colorectal cancer?,
570,Prevotella intermedia,endotoxemia,"[67], the oral administration of P. gingivalis, and Prevotella intermedia in DBA/1J mice with experimentally collagen-induced arthritis (CIA), led to endotoxemia, systemic inflammation, disruption of intestinal barrier, and intestinal dysbiosis.",positive,What is the relationship between Prevotella intermedia and endotoxemia?,
163,Lactobacillus,irritable bowel syndrome,"One meta?analysis, published in 2017, identified downregulated colonisation of Lactobacillus, Bifidobacterium and Faecalibacterium prausnitzii in patients with irritable bowel syndrome, particularly in irritable bowel syndrome where diarrhoea predominated.",negative,What is the relationship between Lactobacillus and irritable bowel syndrome?,
636,Clostridiales,obesity,"(Firmicutes;Clostridiales) were inversely associated with overweight/obesity, and similar tendency were seen with Ruminococcus (Firmicutes; Clostridiales) and Akkermansia (Verrucomicrobia;Verrucomicrobiales) (Table 3).",negative,What is the relationship between Clostridiales and obesity?,
666,Alistipes,IBS,"For instance, it is known that abundance of the genus Veillonella is positively associated with IBS, while the relative abundances of genera Alistipes, Bifidobacterium, and Lactobacillus and the species Collinsella aerofaciens are inversely associated with IBS.",negative,What is the relationship between Alistipes and IBS?,
336,Parabacteroides,colorectal cancer,"For example, microbes such as Dorealongicatena and Parabacteroides, whose abundance was generally low or even non-existent in the healthy samples, was high in patients with adenoma and colorectal cancer.",negative,What is the relationship between Parabacteroides and colorectal cancer?,
59,Enterococcus,AP,"In the context of pancreatic disease, a multi-hospital prospective clinical study showed that the intestinal population of Enterococcus is higher and more positively correlated with the serum levels of IL-6 in severe AP than in mild AP (66), suggesting that the increase in Enterococcus contributes to the severity of this disease.",positive,What is the relationship between Enterococcus and AP?,
960,Clostridium bolteae,autism,"Only two species were found enriched in the patients, including an unclassified Coprobacillus bacterium and Clostridium bolteae, the latter of which is a frequently reported autism-associated bacterium (Pequegnat et al., 2013) that has also been found to be enriched in T2D patients (Qin et al., 2012).",positive,What is the relationship between Clostridium bolteae and autism?,
53,Pg,chronic arthritis,"Overall, these date suggest that invaded Pg in arthritic joints may induce synovial inflammation and promote chronic arthritis.",positive,What is the relationship between Pg and chronic arthritis?,
490,Faecalibacterium prausnitzii,colitis,"For instance, the depletion of Faecalibacterium prausnitzii was correlated with inflammatory bowel diseases (IBD), including colitis and Crohn?s disease [76].",negative,What is the relationship between Faecalibacterium prausnitzii and colitis?,
915,Bacteroides dorei,CHD-NAFLD,"Compared with HCs, the abundance of Bacteroides dorei was also reduced in CHD-NAFLD patients, though it was not statistically significant (the abundance of Bacteroides dorei in CHD-NAFLD and HCs:0.4443 and 1.3039).",negative,What is the relationship between Bacteroides dorei and CHD-NAFLD?,
449,Clostridiales,breast cancer,Goedert and colleagues have provided strong functional evidence for the role of Clostridiales in estrogen reactivation and showed that the relative abundance of Clostridiales increases in breast cancer patients.,positive,What is the relationship between Clostridiales and breast cancer?,
815,Ruminococcus gnavus,inflammatory bowel disease,"Another potential target of interest could be Ruminococcus gnavus which belongs to the Lachnospiraceae family and has been linked to inflammatory bowel disease (Joossens et al., 2011; Hall et al., 2017; Henke et al., 2019).",positive,What is the relationship between Ruminococcus gnavus and inflammatory bowel disease?,
437,Streptococcus,pulmonary diseases,"Indeed, mass-DNA sequencing revealed that, besides the well-known lung pathogens, a core microbiota including four persistent anaerobes genera (Veillonella, Streptococcus, Actinomyces and Prevotella) exists and is common to pulmonary diseases (Cheung et al.2013).",positive,What is the relationship between Streptococcus and pulmonary diseases?,
670,Moraxella catarrhalis,respiratory infections,"Best-known Moraxella infections are produced by Moraxella catarrhalis, which causes respiratory infections, including pneumonia and otitis in human.",positive,What is the relationship between Moraxella catarrhalis and respiratory infections?,
563,Escherichia coli,IBD,Importance of Escherichia coli as Triggers of Intestinal Inflammation in Crohn\'s Disease An altered gut microbiota has long been suspected to play an important part in the pathogenesis of IBD.,relate,What is the relationship between Escherichia coli and IBD?,
833,Corynebacterium,OM,"Studies by Pettigrew and coworkers have, similarly, shown that Corynebacterium and Dolosigranulum are protective for development of OM, and that Actinomyces, Rothia, Neisseria, and Veillonella are associated with an increased risk for development of AOM [48??].",negative,What is the relationship between Corynebacterium and OM?,
1028,Fusobacterium,pancreatic cancer,"Although neither CIMP status nor MLH1 methylation correlate with tumor Fusobacterium species status, our results show that the CIMP-high status is associated with an unfavorable prognosis of pancreatic cancer.",na,What is the relationship between Fusobacterium and pancreatic cancer?,
219,Escherichia coli,intra-abdominal infections,"Interestingly, Escherichia coli and Enterococcus faecium could be inferred, on the basis of relationship patterns, to be harmful, in line with previous studies, which concluded that they may cause or underlie bacteraemia and intra-abdominal infections.",positive,What is the relationship between Escherichia coli and intra-abdominal infections?,
785,Dorea longicatena,IBS,"Notwithstanding this evidence and the commercial interest, some nonbeneficial gut bacterial species (13, 14), such as Dorea longicatena, a species associated with several pathologies such as irritable bowel syndrome (IBS) (15, 16), have been shown to feed on these compounds.",positive,What is the relationship between Dorea longicatena and IBS?,
586,CB,IBS,Probiotic CB improves overall IBS symptoms in IBS-D patients compared with placebo.,negative,What is the relationship between CB and IBS?,
