,experiment_id,methodological_detail_id,qualitative_outcome,disease_id,meddra_level,meddra_id,location_id,disease_name,organism_id,organism_name,organism_ncbi_id,subject_value,control_value,ratio,method_name,sample_name,host_type,host_id,publication_id,control_name,response_name,response_unit
2202,2517,,Reduced,144,preferred_term,10034539.0,28.0,periodontitis,710,Actinomyces odontolyticus,1660.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2203,2518,,Reduced,144,preferred_term,10034539.0,28.0,periodontitis,419,Porphyromonas catoniae,41976.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2204,2519,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,711,Johnsonella,43994.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2205,2520,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,366,Treponema socranskii,53419.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2206,2521,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,348,Bacteroidetes,976.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2207,2522,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,712,Pseudoramibacter alactolyticus,113287.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2208,2523,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,55,Lachnospiraceae,186803.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2209,2524,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,527,Synergistetes,508458.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2210,2525,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,713,Selenomonas sputigena,69823.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2211,2526,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,714,Mycoplasma faucium,56142.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2212,2527,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,532,Chloroflexi,200795.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2213,2528,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,354,Streptococcus constellatus,76860.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2214,2529,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,380,Peptostreptococcaceae,186804.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2215,2530,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,621,Treponema maltophilum,51160.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2216,2531,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,703,Eubacterium minutum,76124.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2217,2532,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,566,Peptostreptococcus stomatis,341694.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2218,2533,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,23,Parvimonas micra,33033.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2219,2534,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,715,Treponema lecithinolyticum,53418.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2220,2535,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,304,Porphyromonas gingivalis,837.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2221,2536,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,359,Tanerella forsythia,28112.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2222,2537,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,343,Eubacterium nodatum,1161902.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2223,2538,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,704,Mogibacterium timidum,35519.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2224,2539,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,680,Porphyromonas endodontalis,28124.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2225,2540,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,702,Eubacterium saphenum,51123.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2226,2541,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,716,Eubacterium brachy,35517.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2227,2542,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,503,Desulfobulbus,893.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2228,2543,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,347,Filifactor alocis,143361.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2229,2544,,Elevated,144,preferred_term,10034539.0,28.0,periodontitis,367,Treponema denticola,158.0,,,,16S rRNA sequencing,Subgingival plaque,Human,381.0,332,Healthy control,LDA Score,Log10
2230,2546,,Reduced,4,preferred_term,10009900.0,10.0,Ulcerative Colitis,55,Lachnospiraceae,186803.0,,,,qPCR,Faeces,Human,382.0,334,Healthy control,,
2231,2547,,Reduced,4,preferred_term,10009900.0,10.0,Ulcerative Colitis,242,Coriobacteriaceae,84107.0,,,,qPCR,Faeces,Human,382.0,334,Healthy control,,
2232,2548,,Reduced,4,preferred_term,10009900.0,10.0,Ulcerative Colitis,33,Bifidobacterium,41200.0,,,,qPCR,Faeces,Human,382.0,334,Healthy control,,
2233,2549,,Reduced,3,preferred_term,10011401.0,10.0,Crohn's Disease,33,Bifidobacterium,41200.0,,,,qPCR,Faeces,Human,383.0,334,Healthy control,,
2234,2550,,Reduced,3,preferred_term,10011401.0,10.0,Crohn's Disease,55,Lachnospiraceae,186803.0,,,,qPCR,Faeces,Human,383.0,334,Healthy control,,
2235,2551,,Reduced,3,preferred_term,10011401.0,10.0,Crohn's Disease,242,Coriobacteriaceae,84107.0,,,,qPCR,Faeces,Human,383.0,334,Healthy control,,
2236,2552,,Reduced,4,preferred_term,10009900.0,10.0,Ulcerative Colitis,1,Lactobacillus,1591.0,5.4,6.8,,Cell culture,Faeces,Human,382.0,334,Healthy control,Log CFU/g,
2237,2553,,Reduced,3,preferred_term,10011401.0,10.0,Crohn's Disease,33,Bifidobacterium,41200.0,8.5,9.4,,Cell culture,Faeces,Human,383.0,334,Healthy control,Log CFU/g,
2238,2554,,Reduced,4,preferred_term,10009900.0,10.0,Ulcerative Colitis,33,Bifidobacterium,41200.0,8.7,9.4,,Cell culture,Faeces,Human,382.0,334,Healthy control,Log CFU/g,
2239,2555,,Reduced,8,preferred_term,10029883.0,10.0,Obesity,33,Bifidobacterium,41200.0,1.47,2.16,,16S rRNA pyrosequencing,Faeces,Human,384.0,336,Healthy control,% (abundancy),% (abundancy)
2240,2556,,Reduced,8,preferred_term,10029883.0,10.0,Obesity,52,Alistipes,239759.0,0.7,1.92,,16S rRNA pyrosequencing,Faeces,Human,384.0,336,Healthy control,% (abundancy),% (abundancy)
2241,2557,,Reduced,8,preferred_term,10029883.0,10.0,Obesity,214,Blautia,572511.0,3.17,12.76,,16S rRNA pyrosequencing,Faeces,Human,384.0,336,Healthy control,% (abundancy),% (abundancy)
2242,2558,,Reduced,8,preferred_term,10029883.0,10.0,Obesity,128,Coprococcus,33042.0,1.32,3.69,,16S rRNA pyrosequencing,Faeces,Human,384.0,336,Healthy control,% (abundancy),% (abundancy)
2243,2559,,Reduced,8,preferred_term,10029883.0,10.0,Obesity,59,Eubacterium,142586.0,0.36,1.18,,16S rRNA pyrosequencing,Faeces,Human,384.0,336,Healthy control,% (abundancy),% (abundancy)
2244,2560,,Reduced,8,preferred_term,10029883.0,10.0,Obesity,14,Roseburia,841.0,1.68,4.48,,16S rRNA pyrosequencing,Faeces,Human,384.0,336,Healthy control,% (abundancy),% (abundancy)
2245,2561,,Reduced,8,preferred_term,10029883.0,10.0,Obesity,237,Oscillospira,119852.0,1.31,3.31,,16S rRNA pyrosequencing,Faeces,Human,384.0,336,Healthy control,% (abundancy),% (abundancy)
2246,2562,,Reduced,8,preferred_term,10029883.0,10.0,Obesity,132,Ruminococcus,41978.0,1.39,1.66,,16S rRNA pyrosequencing,Faeces,Human,384.0,336,Healthy control,% (abundancy),% (abundancy)
2247,2563,,Elevated,8,preferred_term,10029883.0,10.0,Obesity,44,Prevotella,59823.0,19.71,3.05,,16S rRNA pyrosequencing,Faeces,Human,384.0,336,Healthy control,% (abundancy),% (abundancy)
2248,2564,,Elevated,8,preferred_term,10029883.0,10.0,Obesity,465,Peptoniphilus,162289.0,2.85,0.36,,16S rRNA pyrosequencing,Faeces,Human,384.0,336,Healthy control,% (abundancy),% (abundancy)
2249,2565,,Elevated,8,preferred_term,10029883.0,10.0,Obesity,555,Alcaligenaceae,506.0,0.97,0.21,,16S rRNA pyrosequencing,Faeces,Human,384.0,336,Healthy control,% (abundancy),% (abundancy)
2250,2566,,Elevated,8,preferred_term,10029883.0,10.0,Obesity,63,Escherichia,561.0,0.37,0.3,,16S rRNA pyrosequencing,Faeces,Human,384.0,336,Healthy control,% (abundancy),% (abundancy)
2251,2567,,Elevated,154,preferred_term,10053219.0,10.0,Non alcoholic steatohepatitis,44,Prevotella,59823.0,20.62,3.05,,16S rRNA pyrosequencing,Faeces,Human,385.0,336,Healthy control,% (abundancy),% (abundancy)
2252,2568,,Elevated,154,preferred_term,10053219.0,10.0,Non alcoholic steatohepatitis,465,Peptoniphilus,162289.0,4.1,0.36,,16S rRNA pyrosequencing,Faeces,Human,385.0,336,Healthy control,% (abundancy),% (abundancy)
2253,2569,,Elevated,154,preferred_term,10053219.0,10.0,Non alcoholic steatohepatitis,555,Alcaligenaceae,506.0,1.11,0.21,,16S rRNA pyrosequencing,Faeces,Human,385.0,336,Healthy control,% (abundancy),% (abundancy)
2254,2570,,Elevated,154,preferred_term,10053219.0,10.0,Non alcoholic steatohepatitis,63,Escherichia,561.0,2.36,0.3,,16S rRNA pyrosequencing,Faeces,Human,385.0,336,Healthy control,% (abundancy),% (abundancy)
2255,2571,,Reduced,154,preferred_term,10053219.0,10.0,Non alcoholic steatohepatitis,33,Bifidobacterium,41200.0,0.63,2.16,,16S rRNA pyrosequencing,Faeces,Human,385.0,336,Healthy control,% (abundancy),% (abundancy)
2256,2572,,Reduced,154,preferred_term,10053219.0,10.0,Non alcoholic steatohepatitis,52,Alistipes,239759.0,0.4,1.92,,16S rRNA pyrosequencing,Faeces,Human,385.0,336,Healthy control,% (abundancy),% (abundancy)
2257,2573,,Reduced,154,preferred_term,10053219.0,10.0,Non alcoholic steatohepatitis,214,Blautia,572511.0,4.94,12.76,,16S rRNA pyrosequencing,Faeces,Human,385.0,336,Healthy control,% (abundancy),% (abundancy)
2258,2574,,Reduced,154,preferred_term,10053219.0,10.0,Non alcoholic steatohepatitis,128,Coprococcus,33042.0,1.03,3.69,,16S rRNA pyrosequencing,Faeces,Human,385.0,336,Healthy control,% (abundancy),% (abundancy)
2259,2575,,Reduced,154,preferred_term,10053219.0,10.0,Non alcoholic steatohepatitis,59,Eubacterium,142586.0,0.29,1.18,,16S rRNA pyrosequencing,Faeces,Human,385.0,336,Healthy control,% (abundancy),% (abundancy)
2260,2576,,Reduced,154,preferred_term,10053219.0,10.0,Non alcoholic steatohepatitis,14,Roseburia,841.0,2.13,4.48,,16S rRNA pyrosequencing,Faeces,Human,385.0,336,Healthy control,% (abundancy),% (abundancy)
2261,2577,,Reduced,154,preferred_term,10053219.0,10.0,Non alcoholic steatohepatitis,237,Oscillospira,119852.0,0.71,3.31,,16S rRNA pyrosequencing,Faeces,Human,385.0,336,Healthy control,% (abundancy),% (abundancy)
2262,2578,,Reduced,154,preferred_term,10053219.0,10.0,Non alcoholic steatohepatitis,132,Ruminococcus,41978.0,0.33,1.66,,16S rRNA pyrosequencing,Faeces,Human,385.0,336,Healthy control,% (abundancy),% (abundancy)
2263,2579,,Reduced,155,preferred_term,10033645.0,10.0,Pancreatitis,6,Faecalibacterium prausnitzii,853.0,,,,16S rRNA sequencing,Faeces,Human,386.0,337,Healthy control,,
2264,2580,,Reduced,155,preferred_term,10033645.0,10.0,Pancreatitis,76,Ruminococcus bromii,40518.0,,,,16S rRNA sequencing,Faeces,Human,386.0,337,Healthy control,,
2265,2581,,Elevated,29,preferred_term,10019641.0,86.0,Cirrhosis,35,Veillonella,29465.0,,,,16S rRNA pyrosequencing,Tissue biopsie,Human,387.0,338,Healthy control,,
2266,2582,,Elevated,29,preferred_term,10019641.0,86.0,Cirrhosis,453,Megasphaera,906.0,,,,16S rRNA pyrosequencing,Tissue biopsie,Human,387.0,338,Healthy control,,
2267,2583,,Elevated,29,preferred_term,10019641.0,86.0,Cirrhosis,80,Dialister,39948.0,,,,16S rRNA pyrosequencing,Tissue biopsie,Human,387.0,338,Healthy control,,
2268,2584,,Elevated,29,preferred_term,10019641.0,86.0,Cirrhosis,321,Atopobium,1380.0,,,,16S rRNA pyrosequencing,Tissue biopsie,Human,387.0,338,Healthy control,,
2269,2585,,Elevated,29,preferred_term,10019641.0,86.0,Cirrhosis,44,Prevotella,59823.0,,,,16S rRNA pyrosequencing,Tissue biopsie,Human,387.0,338,Healthy control,,
2270,2586,,Reduced,29,preferred_term,10019641.0,86.0,Cirrhosis,248,Neisseria,482.0,,,,16S rRNA pyrosequencing,Tissue biopsie,Human,387.0,338,Healthy control,,
2271,2587,,Reduced,29,preferred_term,10019641.0,86.0,Cirrhosis,247,Haemophilus,724.0,,,,16S rRNA pyrosequencing,Tissue biopsie,Human,387.0,338,Healthy control,,
2272,2588,,Reduced,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,415,Pseudobutyrivibrio,46205.0,0.45,2.16,,16S rRNA pyrosequencing,Faeces,Human,388.0,339,Healthy control,% (abundancy),% (abundancy)
2273,2589,,Reduced,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,124,Anaerotruncus,244127.0,0.19,0.96,,16S rRNA pyrosequencing,Faeces,Human,388.0,339,Healthy control,% (abundancy),% (abundancy)
2274,2590,,Reduced,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,1,Lactobacillus,1591.0,0.04,0.74,,16S rRNA pyrosequencing,Faeces,Human,388.0,339,Healthy control,% (abundancy),% (abundancy)
2275,2591,,Reduced,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,14,Roseburia,841.0,1.48,2.59,,16S rRNA pyrosequencing,Faeces,Human,388.0,339,Healthy control,% (abundancy),% (abundancy)
2276,2592,,Reduced,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,128,Coprococcus,33042.0,0.34,2.4,,16S rRNA pyrosequencing,Faeces,Human,388.0,339,Healthy control,% (abundancy),% (abundancy)
2277,2593,,Reduced,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,132,Ruminococcus,41978.0,1.03,1.59,,16S rRNA pyrosequencing,Faeces,Human,388.0,339,Healthy control,% (abundancy),% (abundancy)
2278,2594,,Reduced,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,228,Moryella,437755.0,0.05,0.35,,16S rRNA pyrosequencing,Faeces,Human,388.0,339,Healthy control,% (abundancy),% (abundancy)
2279,2595,,Reduced,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,501,Anaerosporobacter,653683.0,1.08,2.02,,16S rRNA pyrosequencing,Faeces,Human,388.0,339,Healthy control,% (abundancy),% (abundancy)
2280,2596,,Reduced,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,213,Oscillibacter,459786.0,0.8,1.4,,16S rRNA pyrosequencing,Faeces,Human,388.0,339,Healthy control,% (abundancy),% (abundancy)
2281,2597,,Reduced,6,preferred_term,10019641.0,10.0,Cirrhosis,602,Roseburia faecis,301302.0,,,,16S rRNA sequencing,Faeces,Human,389.0,340,Healthy control,,
2282,2598,,Reduced,6,preferred_term,10019641.0,10.0,Cirrhosis,145,Alistipes putredinis,28117.0,,,,16S rRNA sequencing,Faeces,Human,389.0,340,Healthy control,,
2283,2599,,Reduced,6,preferred_term,10019641.0,10.0,Cirrhosis,327,Mogibacterium,86331.0,,,,16S rRNA sequencing,Faeces,Human,389.0,340,Healthy control,,
2284,2600,,Reduced,6,preferred_term,10019641.0,10.0,Cirrhosis,717,Dehalobacterium,51514.0,,,,16S rRNA sequencing,Faeces,Human,389.0,340,Healthy control,,
2285,2601,,Elevated,6,preferred_term,10019641.0,10.0,Cirrhosis,380,Peptostreptococcaceae,186804.0,,,,16S rRNA sequencing,Faeces,Human,389.0,340,Healthy control,,
2286,2602,,Reduced,157,preferred_term,10003445.0,43.0,Ascites,407,Moraxellaceae,468.0,,,,16S rRNA sequencing,Serum,Human,389.0,340,Healthy control,,
2287,2603,,Reduced,53,preferred_term,10008910.0,47.0,Hepatitis B,44,Prevotella,59823.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,390.0,341,Healthy control,,
2288,2604,,Reduced,53,preferred_term,10008910.0,47.0,Hepatitis B,97,Capnocytophaga,44737.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,390.0,341,Healthy control,,
2289,2605,,Reduced,53,preferred_term,10008910.0,47.0,Hepatitis B,250,Corynebacterium,1716.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,390.0,341,Healthy control,,
2290,2606,,Reduced,53,preferred_term,10008910.0,47.0,Hepatitis B,291,Campylobacter,194.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,390.0,341,Healthy control,,
2291,2607,,Reduced,53,preferred_term,10008910.0,47.0,Hepatitis B,92,Aggregatibacter,416916.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,390.0,341,Healthy control,,
2292,2610,,Elevated,53,preferred_term,10008910.0,47.0,Hepatitis B,329,Porphyromonas,836.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,390.0,341,Healthy control,,
2293,2611,,Elevated,53,preferred_term,10008910.0,47.0,Hepatitis B,94,Treponema,166.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,390.0,341,Healthy control,,
2294,2612,,Elevated,53,preferred_term,10008910.0,47.0,Hepatitis B,59,Eubacterium,142586.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,390.0,341,Healthy control,,
2295,2613,,Elevated,53,preferred_term,10008910.0,47.0,Hepatitis B,531,Filifactor,44259.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,390.0,341,Healthy control,,
2296,2614,,Elevated,6,preferred_term,10019641.0,47.0,Cirrhosis,77,Fusobacterium,68766.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,391.0,341,Healthy control,,
2297,2615,,Elevated,6,preferred_term,10019641.0,47.0,Cirrhosis,91,Catonella,43996.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,391.0,341,Healthy control,,
2298,2616,,Elevated,6,preferred_term,10019641.0,47.0,Cirrhosis,59,Eubacterium,142586.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,391.0,341,Healthy control,,
2299,2617,,Elevated,6,preferred_term,10019641.0,47.0,Cirrhosis,531,Filifactor,44259.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,391.0,341,Healthy control,,
2300,2618,,Elevated,6,preferred_term,10019641.0,47.0,Cirrhosis,718,Yersinia,629.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,391.0,341,Healthy control,,
2301,2619,,Reduced,6,preferred_term,10019641.0,47.0,Cirrhosis,246,Leptotrichia,32067.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,391.0,341,Healthy control,,
2302,2620,,Reduced,6,preferred_term,10019641.0,47.0,Cirrhosis,44,Prevotella,59823.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,391.0,341,Healthy control,,
2303,2621,,Reduced,6,preferred_term,10019641.0,47.0,Cirrhosis,97,Capnocytophaga,44737.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,391.0,341,Healthy control,,
2304,2622,,Reduced,6,preferred_term,10019641.0,47.0,Cirrhosis,89,Selenomonas,970.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,391.0,341,Healthy control,,
2305,2623,,Reduced,6,preferred_term,10019641.0,47.0,Cirrhosis,92,Aggregatibacter,416916.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,391.0,341,Healthy control,,
2306,2624,,Reduced,6,preferred_term,10019641.0,47.0,Cirrhosis,640,Lachnoanaerobaculum,1164882.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,391.0,341,Healthy control,,
2307,2625,,Reduced,6,preferred_term,10019641.0,47.0,Cirrhosis,588,Cardiobacterium,2717.0,,,,16S rRNA pyrosequencing,Supragingival plaque,Human,391.0,341,Healthy control,,
2308,2626,,Reduced,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,52,Alistipes,239759.0,,,,16S rRNA sequencing,Faeces,Human,392.0,342,Healthy control,,
2309,2627,,Reduced,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,130,Odoribacter,283168.0,,,,16S rRNA sequencing,Faeces,Human,392.0,342,Healthy control,,
2310,2628,,Reduced,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,506,Flavonifractor,946234.0,,,,16S rRNA sequencing,Faeces,Human,392.0,342,Healthy control,,
2311,2629,,Reduced,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,213,Oscillibacter,459786.0,,,,16S rRNA sequencing,Faeces,Human,392.0,342,Healthy control,,
2312,2630,,Elevated,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,63,Escherichia,561.0,,,,16S rRNA sequencing,Faeces,Human,392.0,342,Healthy control,,
2313,2631,,Elevated,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,1,Lactobacillus,1591.0,,,,16S rRNA sequencing,Faeces,Human,392.0,342,Healthy control,,
2314,2632,,Elevated,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,644,anaerobacter,,,,,16S rRNA sequencing,Faeces,Human,392.0,342,Healthy control,,
2315,2633,,Elevated,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,507,Clostridium group XI,1485.0,,,,16S rRNA sequencing,Faeces,Human,392.0,342,Healthy control,,
2316,2634,,Elevated,156,preferred_term,10082249.0,10.0,Non-alcoholic fatty liver disease,62,Streptococcus,1306.0,,,,16S rRNA sequencing,Faeces,Human,392.0,342,Healthy control,,
2317,2635,,Reduced,6,preferred_term,10019641.0,10.0,Cirrhosis,36,Bacteroides,29523.0,28.9,47.4,,16S rRNA sequencing,Faeces,Human,393.0,343,Cystic Fibrosis patient with no liver disease,% (abundancy),% (abundancy)
2318,2636,,Elevated,6,preferred_term,10019641.0,10.0,Cirrhosis,9,Clostridium,1506.0,7.3,0.9,,16S rRNA sequencing,Faeces,Human,393.0,343,Cystic Fibrosis patient with no liver disease,% (abundancy),% (abundancy)
2319,2637,,Elevated,121,preferred_term,10003011.0,87.0,Appendicitis,79,Peptostreptococcus,1262.0,5.07,0.32,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2320,2638,,Elevated,121,preferred_term,10003011.0,87.0,Appendicitis,560,Bilophila,35832.0,0.88,0.07,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2321,2639,,Elevated,121,preferred_term,10003011.0,87.0,Appendicitis,78,Parvimonas,543311.0,23.9,4.38,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2322,2640,,Elevated,121,preferred_term,10003011.0,87.0,Appendicitis,329,Porphyromonas,836.0,4.56,0.58,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2323,2641,,Elevated,121,preferred_term,10003011.0,87.0,Appendicitis,391,Bulleidia,118747.0,3.79,0.7,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2324,2642,,Elevated,121,preferred_term,10003011.0,87.0,Appendicitis,327,Mogibacterium,86331.0,0.04,0.003,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2325,2643,,Elevated,121,preferred_term,10003011.0,87.0,Appendicitis,77,Fusobacterium,68766.0,3.21,1.04,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2326,2644,,Elevated,121,preferred_term,10003011.0,87.0,Appendicitis,722,Aminobacterium,81466.0,0.13,0.004,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2327,2645,,Elevated,121,preferred_term,10003011.0,87.0,Appendicitis,84,Proteus,229037.0,0.015,0.0,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2328,2646,,Elevated,121,preferred_term,10003011.0,87.0,Appendicitis,261,Anaerovorax,109326.0,0.37,0.14,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2329,2647,,Elevated,121,preferred_term,10003011.0,87.0,Appendicitis,597,Anaerofilum,52784.0,0.04,0.01,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2330,2648,,Reduced,121,preferred_term,10003011.0,87.0,Appendicitis,670,Paenibacillus,44249.0,0.0,0.03,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2331,2649,,Reduced,121,preferred_term,10003011.0,87.0,Appendicitis,719,Acidobacteriaceae,204434.0,0.0,0.019,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2332,2650,,Reduced,121,preferred_term,10003011.0,87.0,Appendicitis,720,Pseudonocardiaceae,2070.0,0.001,0.026,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2333,2651,,Reduced,121,preferred_term,10003011.0,87.0,Appendicitis,413,Bergeyella,59735.0,0.0019,0.0086,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2334,2652,,Reduced,121,preferred_term,10003011.0,87.0,Appendicitis,721,Rhizobium,379.0,0.0017,0.026,,16S rRNA sequencing,Appendix swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2335,2653,,Elevated,121,preferred_term,10003011.0,36.0,Appendicitis,391,Bulleidia,118747.0,0.0238,0.0021,,16S rRNA sequencing,Rectal swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
2336,2654,,Elevated,121,preferred_term,10003011.0,36.0,Appendicitis,329,Porphyromonas,836.0,0.65,0.103,,16S rRNA sequencing,Rectal swab,Human,394.0,344,Healthy control,% (abundancy),% (abundancy)
