,MICROBE,DISEASE,EVIDENCE,RELATION,QUESTIONS,Unnamed: 0
514,Clostridiales,SFTS,"At the class level, Clostridia (order Clostridiales) were significantly reduced in SFTS patients than in health controls, but Bacilli (order Lactobacillales) were obviously increased in SFTS patients.",negative,What is the relationship between Clostridiales and SFTS?,
509,Pg,synovial inflammation,"We also showed that orally inoculated Pg may utilize dendritic cells (DCs), macrophages and neutrophils to migrate to the joints of CIA mice and result in synovial inflammation.",positive,What is the relationship between Pg and synovial inflammation?,
340,Escherichia,IBS,"Interestingly, Proteobacteria (Shigella/Escherichia) was among the top five dysbiosis?contributing bacterial groups for both IBS and IBD, implying similarities in dysbiosis between IBS and IBD.",positive,What is the relationship between Escherichia and IBS?,
221,Lactobacillus bulgaricus,colitis,"Previous studies have shown that Lactobacillus bulgaricus can reduce colitis, and Lactobacillus rhamnosus can effectively maintain UC remission[16].",negative,What is the relationship between Lactobacillus bulgaricus and colitis?,
1055,Proteus mirabilis,gastroduodenal infections,"In fact, ureolytic activity has a key role in the pathogenesis of bacteria such as Clostridium perfringens, Helicobacter pylori, Klebsiella pneumoniae, Proteus mirabilis, Salmonella spp., Staphylococcus saprophyticus, Ureoplasma urealyticum, and Yersinia enterocolitica, and such activity has been reported in diseases such as urolithiasis, pyelonephritis, ammonia encephalopathy, HE, hepatic coma, and gastroduodenal infections [4], [28].",relate,What is the relationship between Proteus mirabilis and gastroduodenal infections?,
146,Streptococcus,ulcerative colitis,"In addition, the Lactobacillus, Streptococcus and Pseudomanas counts were significantly decreased and that for Enterobacteriacceae was significantly increased in patients with ulcerative colitis.",negative,What is the relationship between Streptococcus and ulcerative colitis?,
289,Streptococcus gallolyticus,CRC,"The abundance of several microbes, such as Streptococcus gallolyticus, Fusobacterium, B. fragilis, Escherichia Shigella, Peptostreptococcus ten [167] were observed to be enriched in CRC patients versus control groups, while genera such as Bacteroides, Roseburia and Pseudomonas were significantly depleted in CRC patients.",positive,What is the relationship between Streptococcus gallolyticus and CRC?,
753,Faecalibacterium prausnitzii,IBD,"The butyric acid-producing anaerobic bacterium, Faecalibacterium prausnitzii, is a novel probiotic used for the treatment of inflammatory bowel disease (IBD).",negative,What is the relationship between Faecalibacterium prausnitzii and IBD?,
29,HP,IBD,Microbes from the genera Roseburia and Enterobacter were related to Helicobacter pylori (HP) in gastritis and Clostridioides difficile infection (CDI) in IBD.,na,What is the relationship between HP and IBD?,
798,Aggregatibacter actinomycetemcomitans,chronic periodontitis,"established that obese patients with chronic periodontitis had higher levels and/or greater proportions of several periodontal pathogens than those of normal weight, including Aggregatibacter actinomycetemcomitans, Eubacterium nodatum, Fusobacterium nucleatum ss vincentii, Parvimonas micra, Prevotella intermedia, Tannerella forthytia, Prevotella melaninogenica and Treponema socranskii.",positive,What is the relationship between Aggregatibacter actinomycetemcomitans and chronic periodontitis?,
114,Streptococcus thermophilus,antibiotic-associated diarrhea (AAD) in infants,Diet supplementation with Bifidobacterium lactis and Streptococcus thermophilus was shown to reduce the frequency of antibiotic-associated diarrhea (AAD) in infants.,negative,What is the relationship between Streptococcus thermophilus and antibiotic-associated diarrhea (AAD) in infants?,
803,Bacteroides fragilis,colitis,"[12] indicated that antibody-mediated blockade of IL-17 and the receptor for IL-23, a key cytokine that amplifies T-helper 17 cell responses, inhibits enterotoxigenic Bacteroides fragilis?induced colitis, colonic hyperplasia, and tumor formation.",positive,What is the relationship between Bacteroides fragilis and colitis?,
508,Bacteroides thetaiotaomicron,cancer,Intestinal Bacteroides species such as Bacteroides thetaiotaomicron and Bacteroides fragilis have been confirmed to improve immunity against cancer through antibodies directed against lymphocyte-associated antigen-4 (CTLA-4) by modulating dendritic cells.,negative,What is the relationship between Bacteroides thetaiotaomicron and cancer?,
946,Bifidobacterium,melanoma,"In melanoma patients responding to iCPI more abundant species included Bifidobacterium, Collinsella, Enterococcus, Clostridiales, Rominococcus and Faecalibacterium, while low levels of Akkermansia muciniphila were observed in epithelial cancers not responding to iCPI (174).",relate,What is the relationship between Bifidobacterium and melanoma?,
1085,Lactobacillus acidophilus,FMF,"The probiotic Lactobacillus acidophilus INMIA 9602 Er 317/402 strain (Narine, Vitamax-E, Armenia) were prescribed to patients in each Narine FMF group.",na,What is the relationship between Lactobacillus acidophilus and FMF?,
176,Tannerella forsythia,GI cancer,"Periodontal disease-associated species, Porphyromonas gingivalis, Tannerella forsythia and Prevotella intermedia, were correlated with a risk of GI cancer regardless of cancer type.",positive,What is the relationship between Tannerella forsythia and GI cancer?,
804,Bacteroides fragilis,colon tumors,"For instance, cefoxitin treatment resulted in complete clearance of enterotoxigenic Bacteroides fragilis, a microbe that causes IL17A-dependent colon tumors.",positive,What is the relationship between Bacteroides fragilis and colon tumors?,
168,Citrobacter freundii,cancer,"Through epithelial injury and inflammation, chronic infections (viruses, Helicobacter pylori and other Helicobacter spp., Bacteroides fragilis, Bacteroides vulgatus, Escherichia coli, Citrobacter rodentium, Citrobacter freundii, and protozoa) are linked to carcinogenesis with approximately 18% of the worldwide cancer burden.",relate,What is the relationship between Citrobacter freundii and cancer?,
347,Ruminococcus,Crohn?s disease,"For example, 2 of the microorganisms on our panel, Escherichia-Shigella and Ruminococcus, are associated with Crohn?s disease, while 5 other organisms, Akkermansia muciniphila, Bifidobacterium, Dialister invisus, Odoribacter and Roseburia, are inversely associated with Crohn?s disease (Fig 5, S2 Table).",positive,What is the relationship between Ruminococcus and Crohn?s disease?,
376,Treponema socranskii,periodontal disease," In addition, microbes associated with periodontal disease, including Treponema socranskii, T. amylovorum, Veillonella dispar, Aggregatibacter segnis, and Bacteroides eggerthii were identified.",positive,What is the relationship between Treponema socranskii and periodontal disease?,
887,Bacteroides caccae,tumor,"(119) metastatic melanoma patients ICI (including ipilimumab, nivolumab, ipilimumab plus nivolumab, and pembrolizumab) Bacteroides caccae: enriched in all ICI responders High levels of anacardic acid, as microbial metabolites, could stimulate neutrophils and macrophages, and enhance T-cell recruitment to tumor metastases.",relate,What is the relationship between Bacteroides caccae and tumor?,
1018,Roseburia inulinivorans,CD,"At the species level, a considerable reduction of butyrate-producing bacterial species, as Blautia faecis, Roseburia inulinivorans, Ruminococcus torques, Clostridium lavalense, Bacteroides uniformis, and F. prausnitzii characterized CD patients respect to healthy subjects.",positive,What is the relationship between Roseburia inulinivorans and CD?,
993,Fusobacterium,COPD,"Veillonella, Rothia, Actinomyces, and Fusobacterium were identified as the four core bacterial genera with significant differences among patients with COPD and periodontitis, patients with periodontitis alone, and HCs.",relate,What is the relationship between Fusobacterium and COPD?,
898,Fusobacterium,colorectal adenomas,"Our results for colorectal adenomas and increased Fusobacterium levels are similar to previously reported studies involving Fusobacterium and colorectal cancer [8], [10], [11].",positive,What is the relationship between Fusobacterium and colorectal adenomas?,
189,P. distasonis,RRMS,"Similarly, Cekanaviciute et al.reported that Parabacteroides distasonis is at lower abundance in treatment naive RRMS patients from the US west coast than HC, suggesting that higher level of P. distasonis may protect against RRMS (8).",negative,What is the relationship between P. distasonis and RRMS?,
136,Staphylococcus aureus,septicemia,"Introduction Staphylococcus aureus colonizes human mucosa and skin and is a major human pathogen that causes a strikingly broad range of infections, ranging from relatively minor skin abscesses to potentially life-threatening pneumonia, osteomyelitis, endocarditis, necrotizing fasciitis, septicemia, and toxic shock syndrome [1].",positive,What is the relationship between Staphylococcus aureus and septicemia?,
446,Fusobacterium nucleatum,tumor,"By using Apcmin/+ mice model, they identified that Fusobacterium nucleatum significantly increased tumor multiplicity through recruitment of tumor-infiltrating myeloid cells to generate a proinflammatory microenvironment for tumor growth and progression (Kostic et al., 2013).",positive,What is the relationship between Fusobacterium nucleatum and tumor?,
978,Lactobacillus helveticus,hyperammonemia,The first hint to the answer came from a recent study where the efficacy of Lactobacillus helveticus NS8 was tested in preventing cognitive decline and anxiety-like behavior in hyperammonemia rats.,negative,What is the relationship between Lactobacillus helveticus and hyperammonemia?,
254,Enterococcus,colon cancer,"Interestingly, Enterococcus has been related to several cancers, such as colon cancer, and lung cancer.",relate,What is the relationship between Enterococcus and colon cancer?,
197,Enterohaemorrhagic Escherichia coli,haemolytic uraemic syndrome,"Enterohaemorrhagic Escherichia coli (EHEC) has been reported to be a cause for many illnesses ranging from mild diarrhoea to more severe diseases like haemolytic uraemic syndrome or haemorrhagic colitis (Tarr et?al., 2005).",positive,What is the relationship between Enterohaemorrhagic Escherichia coli and haemolytic uraemic syndrome?,
290,Klebsiella pneumonia,gastric cancer,"Moreover, apart from H. Pylori, reduction of different other bacteria like Streptococcus sinensis, Acinetobacter baumannii, Prevotella pallens, Klebsiella pneumonia, Lactobacillus colihominis, and Lachnospiraceae are also responsible for gastric cancer in the human [91][92][93].",negative,What is the relationship between Klebsiella pneumonia and gastric cancer?,
459,Ruminococcus obeum,CD,"For example, R. gnavus was higher, but Ruminococcus obeum was lower in CD.",negative,What is the relationship between Ruminococcus obeum and CD?,
768,Anaerotruncus colihominis,bacteremia,"Though its major end-products include acetate and butyrate, generally regarded as beneficial metabolites, the clinical investigation of Anaerotruncus colihominis demonstrated its critical role in bacteremia.",relate,What is the relationship between Anaerotruncus colihominis and bacteremia?,
986,EHEC,differential epithelial lesions,"Specifically, we showed that exposure of EHEC to species-specific commensal metabolites alters transcription of chemotaxis-related genes and motility behavior in the bacterium, and ?fliC EHEC lacking the fliC gene that are non-motile did not produce differential epithelial lesions in the Hmm and Mmm groups.",na,What is the relationship between EHEC and differential epithelial lesions?,
767,Bacteroides,CF,"It was noted that the levels of these pathways in Bacteroides, Lachnospiracheae, Clostridium and Enterococcus were significantly increased in the CF patients compared to the controls, which could contribute to the altered starch catabolic pathways.",positive,What is the relationship between Bacteroides and CF?,
232,Lactobacillus curvatus,obesity,"Oral application of a diet supplemented with two Lactobacillus strains (Lactobacillus curvatus, L. plantarum) to obese mice reduced obesity and improved inflammatory markers in adipose tissue [106] while the administration of L. plantarum alone attenuated body weight gain and dyslipidemia in high-fat diet-fed mice [107].",negative,What is the relationship between Lactobacillus curvatus and obesity?,
645,Lactobacillus rhamnosus,AD,"According to a double-blind placebo-controlled trial, Lactobacillus rhamnosus GG (L. rhamnosus GG) taken at pregnancy prevented half of the high-risk infants from developing AD at 2 years, and this effect was kept constant at the age of 4 years [153].",negative,What is the relationship between Lactobacillus rhamnosus and AD?,
33,Akkermansia muciniphila,obesity,"One such species is Akkermansia muciniphila, which is currently being assessed as a treatment for obesity.74 Of note, intestinal helminths, such as N. brasiliensis, H. polygyrus or Trichuris muris, are directly at the intersection of type 2 immunity, microbiota and metabolism.",negative,What is the relationship between Akkermansia muciniphila and obesity?,
88,Campylobacter jejuni,diarrhea,"In 80% to 85% of cases, diarrhea is due to pathogenic bacteria [Escherichia coli (E. coli), enteropathogenic, Campylobacter jejuni, Shigella, Salmonella, Yersinia enterocolitica].",positive,What is the relationship between Campylobacter jejuni and diarrhea?,
1059,Bacteroides fragilis,CRC,For example polysaccharide A (PSA) in Bacteroides fragilis inhibited CRC cell proliferation by controlling the cell cycle and impaired CRC cell migration and invasion by suppressing EMT (23).,negative,What is the relationship between Bacteroides fragilis and CRC?,
44,Clostridium,CF,"It was noted that the levels of these pathways in Bacteroides, Lachnospiracheae, Clostridium and Enterococcus were significantly increased in the CF patients compared to the controls, which could contribute to the altered starch catabolic pathways.",positive,What is the relationship between Clostridium and CF?,
341,Helicobacter pylori,gastric,"For example, the gastric pathogen Helicobacter pylori stimulates expression of PAI and of uPA and its receptor (uPAR) in gastric epithelial cells 13 and can also affect epithelial signaling pathways partially through activation of EGFR.",relate,What is the relationship between Helicobacter pylori and gastric?,
61,Butyricicoccus pullicaecorum,bacterial infection,"In animal models, administration of B. fragilis, Butyricicoccus pullicaecorum or Roseburia hominis exerted effects to increase butyrate production, inhibit bacterial infection and reduce inflammation (848586).",negative,What is the relationship between Butyricicoccus pullicaecorum and bacterial infection?,
1071,Helicobacter pylori,immunodeficiency,"In most cases, minimal lesions are attributable to other causes, including food allergies (e.g., cow milk proteins), Crohn?s disease, lymphocytic colitis, bacterial and parasitic intestinal infections, such as Giardia, common variable immunodeficiency, small intestinal bacterial overgrowth, non-steroidal anti-inflammatory drugs, and Helicobacter pylori infection (Box 1) [125?127].",na,What is the relationship between Helicobacter pylori and immunodeficiency?,
199,EPEC,severe intestinal inflammation,"Importantly, EHEC and EPEC can cause severe intestinal inflammation and diarrhea.",positive,What is the relationship between EPEC and severe intestinal inflammation?,
429,Akkermansia muciniphila,DSS-colitis,"The most dominant is Akkermansia muciniphila, a bacterium that scavenges mucins as a carbon and nitrogen source which has been inversely associated with obesity and diabetes, and presents protective activity in DSS-colitis in mice.",negative,What is the relationship between Akkermansia muciniphila and DSS-colitis?,
869,Fusobacterium,tumor,"Metagenomic prediction suggested that Fusobacterium, Leptotrichia, and Streptococcus appear to be largely responsible for case-associated enrichment of tyrosine metabolism in both tumor:tumor-adjacent and tumor:fecal comparisons.",relate,What is the relationship between Fusobacterium and tumor?,
394,Escherichia coli,eczema,In the Lifestyle and Genetic Constitution (KOALA) Birth Cohort Study ? an extensive epidemiological study with involved 957 infants from Netherlands aged 1?month ? the presence of Escherichia coli and Clostridium difficile in stools has been associated with a higher risk to develop eczema [14].,positive,What is the relationship between Escherichia coli and eczema?,
1082,Escherichia,IBD,"Interestingly, Proteobacteria (Shigella/Escherichia) was among the top five dysbiosis?contributing bacterial groups for both IBS and IBD, implying similarities in dysbiosis between IBS and IBD.",positive,What is the relationship between Escherichia and IBD?,
799,Parabacteroides distasonis,metabolic dysfunctions,Colonization with other succinate producers such as Parabacteroides distasonis has also proven effective for improving metabolic dysfunctions associated with obesity [20].,negative,What is the relationship between Parabacteroides distasonis and metabolic dysfunctions?,
890,Bifidobacterium bifidum,colorectal cancer,"We found some species that were distinctive of one disease only as it is the case for P. stomatis, P. micra and Gemella morbillorum in colorectal cancer, multiple Veillonella species in cirrhosis, and, partially, Bifidobacterium bifidum and Lachnospiraceae in IBD.",na,What is the relationship between Bifidobacterium bifidum and colorectal cancer?,
730,EHEC,severe intestinal inflammation,"Importantly, EHEC and EPEC can cause severe intestinal inflammation and diarrhea.",positive,What is the relationship between EHEC and severe intestinal inflammation?,
814,Escherichia coli,CD,"Enterobacteria are particularly elevated in patients with CD and UC, especially Escherichia coli, which has been isolated from the ileus of individuals with CD through biopsies in several studies [63].",positive,What is the relationship between Escherichia coli and CD?,
297,Streptococcus,AV,"Escherichia coli, Streptococcus spp., Staphylococcus aureus, coagulase-negative staphylococci, Staphylococcus epidermidis, and Enterococcus faecalis have been found to colonize in significant numbers in AV patients.",positive,What is the relationship between Streptococcus and AV?,
73,Haemophilus influenzae,paediatric respiratory infection,"For example, in the context of paediatric respiratory infection, Haemophilus influenzae is considered an important pathogen, whereas Haemophilus haemolyticus is considered commensal.",positive,What is the relationship between Haemophilus influenzae and paediatric respiratory infection?,
393,Veillonella,PPD,"The genera identified as Capnocytophaga, Corynebacterium (C. durum), Fusobacterium (mainly F. nucleatum), Gemella, Haemophilus, Leptotrichia, Streptococcus, and Veillonella (especially in NS-Control and NS-Perio groups) were significantly negatively correlated with PPD, CAL, and/or BOP.",negative,What is the relationship between Veillonella and PPD?,
807,Lactobacillus fermentum,psychological abnormalities,"Interestingly, the administration of probiotics (Lactobacillus fermentum strain NS9) reverses the physiological and psychological abnormalities induced by ampicillin in rats .",negative,What is the relationship between Lactobacillus fermentum and psychological abnormalities?,
547,Faecalibacterium prausnitzii,ulcerative colitis,"In patients with ulcerative colitis, depletion of both Faecalibacterium prausnitzii and Roseburia intestinalis has been proposed to be the hallmark of dysbiosis (44).",negative,What is the relationship between Faecalibacterium prausnitzii and ulcerative colitis?,
579,Faecalibacterium prausnitzii,Crohn?s disease,"For instance, the depletion of Faecalibacterium prausnitzii was correlated with inflammatory bowel diseases (IBD), including colitis and Crohn?s disease.",negative,What is the relationship between Faecalibacterium prausnitzii and Crohn?s disease?,
541,Porphyromonas gingivalis (Pg),chronic periodontitis,"A multiplex PCR reaction was standardized to confirm the presence of Aggregatibacter actinomycetemcomitans (Aa), Tannerella forsythensis (Tf), and Porphyromonas gingivalis (Pg) in the subgingival samples from patients diagnosed with chronic periodontitis.",positive,What is the relationship between Porphyromonas gingivalis (Pg) and chronic periodontitis?,
994,Escherichia,RS,"Within our own initial datasets, we addressed this issue by using several approaches and observed increased abundances of Escherichia/Shigella when stool samples were mailed to the research laboratory and received after 3 days (RS) or after 5 days (GenR) in the post.",positive,What is the relationship between Escherichia and RS?,
1034,Desulfovibrio,nonalcoholic steatohepatitis,Xie et al.found that Desulfovibrio was markedly increased in STZ-HFD-induced nonalcoholic steatohepatitis and was positively correlated with LPS levels [53].,positive,What is the relationship between Desulfovibrio and nonalcoholic steatohepatitis?,
979,Escherichia coli,colon inflammation,"Figure 2 Usefulness of Faecalibacterium prausnitzii, its phylogroups (PHGI and PHGII) and their index in conjunction to Escherichia coli to discriminate inflammatory bowel disease with colon inflammation and colorectal cancer by pooling all biopsy samples together (A) and by location of sampling (B).",relate,What is the relationship between Escherichia coli and colon inflammation?,
821,Prevotella melaninogenica,hypoxemia,"However, Prevotella melaninogenica was more consistently present among patients with hypoxemia, resulting in its higher ranking over Staphylococcus spp.",positive,What is the relationship between Prevotella melaninogenica and hypoxemia?,
663,Escherichia coli,epithelial dysfunction,"In vitro studies have shown that live probiotic bacteria protect epithelial cells from enteroinvasive Escherichia coli, a combination of Streptococcus thermophilus and Lactobacillus acidophilus ameliorated epithelial dysfunction due to inflammatory cytokines in vitro and in a mouse model of colitis in vivo.",negative,What is the relationship between Escherichia coli and epithelial dysfunction?,
217,Propionibacterium acnes,prostate cancer,Other studies also showed a positive association between Propionibacterium acnes and the development of prostate cancer[18].,positive,What is the relationship between Propionibacterium acnes and prostate cancer?,
539,Adherent and Invasive Escherichia coli (AIEC),CD lesions,"Firstly, Bdello having a predation predominant on Gram negative bacteria, its absence could result in a proliferation of ?pathobiont? bacteria, like Adherent and Invasive Escherichia coli (AIEC) or Yersinia species which are suspected to play a role in CD lesions (Carri?re, 2014).",relate,What is the relationship between Adherent and Invasive Escherichia coli (AIEC) and CD lesions?,
962,Clostridium leptum,MM,"Actinobacteria, Clostridium leptum, and Rothia are the main bacteria involved in the intestinal glucose metabolism pathway, suggesting the dysregulated glucose metabolism pathway in the intestinal tract of MM patients.",relate,What is the relationship between Clostridium leptum and MM?,
967,Streptococcus mitis,pancreatic cancer,"Moreover, two bacterial biomarkers, Neisseria elongata and Streptococcus mitis, have a high sensitivity and specificity for the diagnosis of patients with pancreatic cancer.",positive,What is the relationship between Streptococcus mitis and pancreatic cancer?,
623,Enterococcus,IBDs,"Overall, enhanced microbial diversity, decreased Firmicutes, and increased Bacteroidetes and SCFAs levels evidence that these (or such) probiotic Lactobacillus and Enterococcus strains (particularly, in combination) may be beneficial in ameliorating gut microbiome dysbiosis in several human diseases including obesity, type 2 diabetes, cancer, and IBDs, and might serve as potential biotherapy to prevent/cure such ailments.",negative,What is the relationship between Enterococcus and IBDs?,
668,Firmicutes,autism,"Gut microbiota in patients with autism is often different with increased levels of Bacteroides phylum, Sutterella species and toxin-producing Clostridium histolyticum, but with reduced amounts of Firmicutes, Veilonellaseae, Prevotella and Coprococcus species bacteria.",negative,What is the relationship between Firmicutes and autism?,
998,Neisseria elongata,pancreatic cancer,"Moreover, two bacterial biomarkers, Neisseria elongata and Streptococcus mitis, have a high sensitivity and specificity for the diagnosis of patients with pancreatic cancer.",positive,What is the relationship between Neisseria elongata and pancreatic cancer?,
421,Bacteroides eggerthii,periodontal disease," In addition, microbes associated with periodontal disease, including Treponema socranskii, T. amylovorum, Veillonella dispar, Aggregatibacter segnis, and Bacteroides eggerthii were identified.",positive,What is the relationship between Bacteroides eggerthii and periodontal disease?,
694,Fusobacterium,cancerous,"Bacteroides, Streptococcus, Prevotella, Fusobacterium, Peptostreptococcus, Haemophilus, Gemella, Veillonella, Granulicatella, Morganella, and Porphyromonas, which constitute over 1% of the total bacteria in cancerous tissue, exhibited a relatively higher abundance in cancerous tissue.",positive,What is the relationship between Fusobacterium and cancerous?,
138,Burkholderia cepacia,CF,"Burkholderia cepacia complex (Bcc) is a group of opportunistic pathogens, with at least 20 distinct genomovars/species [1], believed to be associated with poor prognosis and patient-to-patient transmissibility in cystic fibrosis (CF).",relate,What is the relationship between Burkholderia cepacia and CF?,
212,Prevotella copri,Coeliac disease,"Here, we found Prevotella and species related to Prevotella copri were higher in our non-secretor children and the children of non-secretor mothers, and these bacteria have also been reported to be present at higher levels in untreated Coeliac disease [46] and new onset rhematoid arthritis patients [47] but appear to be reduced in both Crohn?s disease and Type 1 Diabetes [48, 49].",positive,What is the relationship between Prevotella copri and Coeliac disease?,
616,Clostridium,immune-related disorders,"In another prospective study, a reduced ratio of Bifidobacterium to Clostridium counts in the faecal microbiota of infants was shown to precede the development of atopic diseases later in life, indicating that the relative proportions of these bacterial groups may favour or protect against the development of immune-related disorders.",negative,What is the relationship between Clostridium and immune-related disorders?,
0,Porphyromonas gingivalis,hemolytic uremic syndrome,"in the context of the study, porphyromonas gingivalis was found to be significantly associated with primary sclerosing cholangitis (psc) dysbiosis, and not with ulcerative colitis (hemolytic uremic syndrome) or crohn's disease (cd) dysbiosis.",na,what is the relationship between porphyromonas gingivalis and hemolytic uremic syndrome?,1061
1,Collinsella aerofaciens,HPV-positive cancers,"the genus collinsella aerofaciens was identified as a member of the altered microbiota in psc, but not in hpv-positive cancers or cd, based on the results of the analysis.",na,what is the relationship between collinsella aerofaciens and hpv-positive cancers?,1061
2,Streptococcus pneumoniae,myocardial infarction,"streptococcus pneumoniae was exclusively linked to psc dysbiosis, and not to myocardial infarction dysbiosis, according to the findings of the research.",na,what is the relationship between streptococcus pneumoniae and myocardial infarction?,1061
3,Capnocytophaga sputigena,pyelonephritis,"the study revealed that capnocytophaga sputigena was significantly enriched in psc, but not in pyelonephritis or cd, indicating a specific relationship between capnocytophaga sputigena and psc.",na,what is the relationship between capnocytophaga sputigena and pyelonephritis?,1061
4,Megamonas,OLP,"according to the data, megamonas was not a significant component of olp dysbiosis, but was instead associated with psc dysbiosis.",na,what is the relationship between megamonas and olp?,1061
5,Lactobacillus rhamnosus,Yin-deficiency,"the research showed that lactobacillus rhamnosus was part of the distinct microbial signature of psc, and not yin-deficiency or cd, suggesting a unique relationship between lactobacillus rhamnosus and psc.",na,what is the relationship between lactobacillus rhamnosus and yin-deficiency?,1061
6,Treponema socranskii,metabolic endotoxemia,"treponema socranskii was more abundant in smoking individuals who were periodontally healthy, relative to non-smoking healthy individuals, indicating a possible association with metabolic endotoxemia in smokers.",positive,what is the relationship between treponema socranskii and metabolic endotoxemia?,360
7,ETBF,endocarditis,"the microbe etbf exhibited higher prevalence in periodontally healthy smoking individuals, compared to non-smoking healthy controls, implying a connection with smoking-related endocarditis risks.",positive,what is the relationship between etbf and endocarditis?,360
8,Campylobacter,idiopathic pulmonary fibrosis (IPF),"there is an elevated presence of campylobacter in periodontally healthy smokers, contrasted with non-smoking healthy individuals, suggesting a relationship with smoking-related idiopathic pulmonary fibrosis (ipf) development.",positive,what is the relationship between campylobacter and idiopathic pulmonary fibrosis (ipf)?,360
9,Blautia faecis,metabolic endotoxemia,"the bacterium blautia faecis has been proposed as a contributing factor in the development of metabolic endotoxemia, as indicated by its association with acute myocardial infarction.",positive,what is the relationship between blautia faecis and metabolic endotoxemia?,237
10,Haemophilus haemolyticus,endocarditis,"a link exists between the presence of haemophilus haemolyticus and the progression of endocarditis, as observed in cases of acute myocardial infarction.",positive,what is the relationship between haemophilus haemolyticus and endocarditis?,237
11,Clostridium hiranonis,colon cancer14,"clostridium hiranonis has been identified as one of the infectious agents that may play a role in promoting the onset of colon cancer14, particularly in relation to acute myocardial infarction.",positive,what is the relationship between clostridium hiranonis and colon cancer14?,237
12,Eikenella corrodens,HAI,"an inverse relationship was observed between the presence of eikenella corrodens and levels of hai (fasting blood sugar), where an increase in the microbe corresponded with a decrease in hai concentrations.",negative,what is the relationship between eikenella corrodens and hai?,650
13,EPEC,irregular and complex dysplastic glands,"the amount of epec was found to negatively correlate with irregular and complex dysplastic glands, indicating that higher abundances of this microbe may be associated with lower fasting blood sugar levels.",negative,what is the relationship between epec and irregular and complex dysplastic glands?,650
14,Porphyromonas gingivalis (PG),intestinal metaplasia,"porphyromonas gingivalis (pg) exhibited a negative correlation with intestinal metaplasia, implying that greater quantities of this microbe could potentially protect against elevated fasting blood sugar levels.",negative,what is the relationship between porphyromonas gingivalis (pg) and intestinal metaplasia?,650
15,Bilophila wadsworthia,gastrointestinal disease,"there is a continuous gradient of decreasing gastrointestinal disease levels associated with increasing relative abundance of bilophila wadsworthia, suggesting a potential connection between this microbe and fasting blood sugar control.",negative,what is the relationship between bilophila wadsworthia and gastrointestinal disease?,650
16,Clostridium lavalense,disorders and inflammation,"the microbe clostridium lavalense is positively associated with chronic hepatitis b (disorders and inflammation) and cirrhosis, as patients with these conditions show a significant increase in clostridium lavalense levels compared to healthy individuals.",positive,what is the relationship between clostridium lavalense and disorders and inflammation?,112
17,lactobacillus,haemolytic uraemic syndrome,"there is a correlation between the presence of lactobacillus and the progression of haemolytic uraemic syndrome and cirrhosis, with patients exhibiting higher counts of this microbe than healthy controls.",positive,what is the relationship between lactobacillus and haemolytic uraemic syndrome?,112
18,Chryseobacterium,HAI,"in the context of hai and cirrhosis, chryseobacterium is identified as a microbe with increased prevalence, contrasting the decreased levels of bifidobacteria and lactobacillus in affected patients.",positive,what is the relationship between chryseobacterium and hai?,112
19,Faecalibacterium sp.,ulcer,"the microbe faecalibacterium sp. is among the bacterial agents employed in animal models to induce ulcer, as demonstrated by jiminez et al. (2015).",positive,what is the relationship between faecalibacterium sp. and ulcer?,744
20,H. pylori,pseudomembranous enterocolitis,"in the context of animal models, h. pylori is a bacterium that can bring about pseudomembranous enterocolitis, as reported by jiminez et al. (2015).",positive,what is the relationship between h. pylori and pseudomembranous enterocolitis?,744
21,Acinetobacter,myocardial ischemia,"as per jiminez et al. (2015), acinetobacter has been identified as one of the bacteria capable of eliciting myocardial ischemia in animal models.",positive,what is the relationship between acinetobacter and myocardial ischemia?,744
22,Filifactor alocis,epithelial precursor lesions,"in individuals with epithelial precursor lesions, there is a notable increase in the presence of filifactor alocis within the intestinal dysbiosis commonly observed.",positive,what is the relationship between filifactor alocis and epithelial precursor lesions?,532
23,Fusobacterium periodonticum,human infections,"the microbiota of patients with human infections shows a higher prevalence of fusobacterium periodonticum, contributing to the described intestinal dysbiosis.",positive,what is the relationship between fusobacterium periodonticum and human infections?,532
24,Lactobacillus curvatus,metabolic dysfunctions,"metabolic dysfunctions is associated with an altered gut microbiota, including a rise in lactobacillus curvatus populations.",positive,what is the relationship between lactobacillus curvatus and metabolic dysfunctions?,532
25,Aggregatibacter actinomycetemcomitans,OSCC,"in individuals with oscc, the microbe aggregatibacter actinomycetemcomitans was found to be increased in abundance in the c+p+ group compared to the c?p+ group.",positive,what is the relationship between aggregatibacter actinomycetemcomitans and oscc?,577
26,Veillonella dispar,myocardial ischemia,the presence of veillonella dispar was higher in myocardial ischemia patients belonging to the c+p+ group as opposed to the c?p+ group.,positive,what is the relationship between veillonella dispar and myocardial ischemia?,577
27,Stenotrophomonas maltophilia,intestinal metaplasia,"an elevated level of stenotrophomonas maltophilia, a microbe, was observed in patients with intestinal metaplasia in the c+p+ group relative to the c?p+ group.",positive,what is the relationship between stenotrophomonas maltophilia and intestinal metaplasia?,577
28,Enterococcus spp.,ulcer disease,the microbe enterococcus spp. has been associated with a decrease in occurrence in individuals with ulcer disease [56].,negative,what is the relationship between enterococcus spp. and ulcer disease?,126
